trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,4,left,0.3067543,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
1,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,4,right,0.1816071,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
2,"['high', 1]",1,white,135,right,down,high,white_high_135_down,black_high_45_down,12,right,0.3367047,1,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
3,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,3,right,0.3221126,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
4,"['high', 3]",3,white,45,left,down,high,white_high_45_down,black_high_135_down,8,left,0.5887857,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
5,"['high', 4]",4,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.2619003,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
6,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,8,right,0.2640076,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
7,"['low', 1]",1,white,45,left,down,low,white_low_45_down,black_low_135_down,7,right,1.6735331,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
8,"['high', 3]",3,white,135,right,down,high,white_high_135_down,black_high_45_down,7,right,0.293808,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
9,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,4,right,0.2460193,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
10,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,3,right,0.2342174,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
11,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.2379069,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
12,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,6,left,1.1608244,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
13,"['high', 3]",3,white,135,right,up,high,white_high_135_up,black_high_45_up,5,right,0.2118652,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
14,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,7,right,0.1520786,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
15,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,10,right,0.0824906,1,10,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
16,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,11,right,0.2964311,1,11,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
17,"['low', 1]",1,black,45,right,up,low,black_low_45_up,white_low_135_up,9,right,0.2355415,1,9,3,1,TRUE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
18,"['high', 3]",3,white,135,right,down,high,white_high_135_down,black_high_45_down,4,right,0.162739,1,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
19,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,4,right,0.3949923,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
20,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,10,right,0.4545649,0,10,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
21,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,3,right,0.4013091,1,3,5,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
22,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,8,right,0.1729066,1,8,4,1,FALSE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
23,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,1.675473,1,2,6,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
24,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,7,right,0.516411,1,7,5,1,FALSE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
25,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,6,right,0.1736827,1,6,6,1,FALSE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
26,"['high', 1]",1,white,45,left,down,high,white_high_45_down,black_high_135_down,13,left,1.073636,1,13,3,0,TRUE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
27,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,8,right,0.4136945,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
28,"['high', 1]",1,white,135,right,up,high,white_high_135_up,black_high_45_up,12,right,0.4292648,1,12,4,1,TRUE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
29,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,3,right,0.2689563,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
30,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,11,left,0.6733198,1,11,5,1,FALSE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
31,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.2751817,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
32,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,1,left,0.6446916,1,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
33,"['high', 1]",1,white,135,right,up,high,white_high_135_up,black_high_45_up,10,right,0.2619183,1,10,6,1,FALSE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
34,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,7,right,0.2767458,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
35,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,6,left,0.0929785,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
36,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,5,right,0.3764343,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
37,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.372471,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
38,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,1,right,0.360353,1,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
39,"['low', 3]",3,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.5691209,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
40,"['high', 6]",6,white,135,right,up,high,white_high_135_up,black_high_45_up,4,right,0.3088988,1,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
41,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,3,right,0.2817655,1,3,5,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,7,3.2.2021,164.9585212
