trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
794,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,3,left,0.8355479,1,3,83,1,FALSE,29,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
795,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,1.7223188,1,2,84,1,FALSE,29,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
796,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,4,left,0.1452889,1,4,68,0,TRUE,22,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
797,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,6,left,1.1386101,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
798,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,7,right,0.3594449,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
799,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,7,right,0.2153643,1,7,79,1,TRUE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
800,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,7,left,0.1425059,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
801,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,4,right,0.082978,1,4,76,0,TRUE,13,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
802,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,28,right,0.3395804,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
803,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,28,right,1.0090928,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
804,"['low', 3]",3,white,45,left,down,low,white_low_45_down,black_low_135_down,6,left,0.2537526,1,6,80,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
805,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,3,right,0.1378002,1,3,77,1,TRUE,14,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
806,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,6,left,0.5517598,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
807,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,5,right,0.2111174,1,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
808,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,6,right,0.3002895,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
809,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,5,right,0.1244636,1,5,81,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
810,"['high', 2]",2,white,135,right,up,high,white_high_135_up,black_high_45_up,3,left,3.0196241,0,3,69,1,TRUE,23,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
811,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,1,right,1.4829044,0,1,85,1,FALSE,29,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
812,"['low', 2]",2,white,45,left,down,low,white_low_45_down,black_low_135_down,5,right,0.3182122,0,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
813,"['low', 4]",4,white,135,right,up,low,white_low_135_up,black_low_45_up,1,left,1.6387991,0,1,82,1,FALSE,20,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
814,"['low', 6]",6,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.2936198,1,2,78,1,FALSE,14,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
815,"['low', 4]",4,white,135,right,up,low,white_low_135_up,black_low_45_up,4,right,0.4726032,1,4,83,0,TRUE,21,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
816,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,7,left,0.9224166,0,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
817,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,6,left,0.1216378,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
818,"['high', 1]",1,white,135,right,down,high,white_high_135_down,black_high_45_down,28,right,0.1522796,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
819,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,5,left,0.2401444,1,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
820,"['high', 3]",3,white,135,right,down,high,white_high_135_down,black_high_45_down,6,right,0.2333432,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
821,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,4,right,0.3962763,1,4,86,0,TRUE,30,1,1,1,TRUE,TRUE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
822,"['high', 6]",6,white,135,right,up,high,white_high_135_up,black_high_45_up,4,right,0.2216546,1,4,86,0,TRUE,30,1,1,1,TRUE,TRUE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
823,"['high', 4]",4,white,45,left,down,high,white_high_45_down,black_high_135_down,7,left,0.1288465,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
824,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,6,right,0.7685283,0,6,70,0,TRUE,24,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
825,"['low', 2]",2,white,45,left,down,low,white_low_45_down,black_low_135_down,5,left,0.0867067,1,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
826,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,7,right,0.0891615,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
827,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,3,right,1.2929226,1,3,84,1,TRUE,22,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
828,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,4,left,0.1218548,1,4,86,0,TRUE,30,1,1,1,TRUE,TRUE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
829,"['high', 2]",2,black,45,right,up,high,black_high_45_up,white_high_135_up,9,left,1.2279279,0,9,71,0,FALSE,24,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
830,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,12,left,0.1176761,1,12,72,0,FALSE,24,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
831,"['low', 1]",1,black,45,right,up,low,black_low_45_up,white_low_135_up,10,left,2.260388,0,10,78,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
832,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,11,left,0.1959311,1,11,73,1,TRUE,25,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
833,"['high', 3]",3,white,135,right,up,high,white_high_135_up,black_high_45_up,6,right,0.2238026,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
834,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,10,right,0.3532598,1,10,78,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
835,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,28,right,0.334671,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
836,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,7,left,0.0571473,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
837,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,5,left,0.1622804,1,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
838,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,28,left,0.0730616,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
839,"['low', 3]",3,black,135,left,down,low,black_low_135_down,white_low_45_down,4,left,0.7514301,1,4,82,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
840,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,28,left,0.2220621,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
