trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,fixation,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
722,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,12,1.69996121,right,0.9078527,1,12,64,1,FALSE,24,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
723,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,13,1.610622351,right,0.3175714,0,13,67,1,FALSE,25,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
724,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,1,1.876168373,right,0.5439976,1,1,70,1,FALSE,22,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
725,"['low', 3]",3,black,135,left,down,low,black_low_135_down,white_low_45_down,1,1.706426111,left,0.5791142,1,1,69,1,FALSE,26,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
726,"['high', 6]",6,white,135,right,down,high,white_high_135_down,black_high_45_down,16,1.935046495,right,0.8465442,1,16,68,0,TRUE,26,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
727,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,16,1.119216553,right,0.4450655,1,16,76,1,FALSE,29,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
728,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,21,1.803488258,left,0.8614251,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
729,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,11,1.396315401,left,0.3285687,1,11,65,1,FALSE,24,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
730,"['low', 3]",3,white,45,left,up,low,white_low_45_up,black_low_135_up,1,1.316892915,right,0.2733689,0,1,70,1,FALSE,26,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
731,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,10,1.613740317,right,0.3810138,1,10,66,1,FALSE,24,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
732,"['high', 3]",3,white,45,left,down,high,white_high_45_down,black_high_135_down,14,1.351475039,left,0.3480518,1,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
733,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,23,1.74918262,left,0.3482993,1,23,73,1,FALSE,29,1,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
734,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,22,1.964249898,right,0.4606941,1,22,74,1,FALSE,29,1,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
735,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,15,1.286353551,left,0.3372753,1,15,69,1,TRUE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
736,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,14,1.732893835,left,0.3002821,0,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
737,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,21,1.841073831,right,1.396372,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
738,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,14,1.730244667,left,0.8081542,1,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
739,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,9,1.62716877,left,0.7187487,0,9,67,1,FALSE,24,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
740,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,12,1.456062193,left,0.1844129,0,12,68,0,TRUE,25,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
741,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,21,1.379441288,left,0.3136519,1,21,75,1,FALSE,29,1,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
