trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 2]",2,black,45,right,up,high,black_high_45_up,white_high_135_up,8,left,0.2872009,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
1,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,8,left,0.3309248,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
2,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,4,left,0.0303517,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
3,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,11,right,0.0567872,0,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
4,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,12,right,0.3094714,0,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
5,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,7,left,0.9054846,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
6,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,4,right,0.0292304,0,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
7,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,8,left,0.4092738,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
8,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,4,left,0.3431565,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
9,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,3,left,0.1658411,0,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
10,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,3,right,0.2546781,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
11,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,14,left,0.315067,1,14,2,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
12,"['low', 2]",2,black,45,right,down,low,black_low_45_down,white_low_135_down,7,left,0.3930942,0,7,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
13,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,10,left,0.3453949,1,10,2,0,TRUE,1,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
14,"['low', 1]",1,white,45,left,up,low,white_low_45_up,black_low_135_up,8,left,0.0254596,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
15,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.0427194,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
16,"['high', 4]",4,white,45,left,up,high,white_high_45_up,black_high_135_up,11,left,1.0939855,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
17,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,13,left,0.3994324,1,13,3,1,TRUE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
18,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,12,left,0.3694005,1,12,4,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
19,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,11,right,0.0777402,1,11,5,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
20,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,6,left,0.1136511,0,6,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
21,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,9,left,1.0189466,1,9,3,1,TRUE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
22,"['high', 1]",1,white,135,right,down,high,white_high_135_down,black_high_45_down,15,right,0.4404892,1,15,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
23,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,9,left,0.7729781,1,9,3,0,FALSE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
24,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,10,left,0.4666775,1,10,6,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
25,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,10,left,0.4498251,0,10,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
26,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,9,right,0.2727833,1,9,7,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
27,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,7,left,0.2453377,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
28,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,10,right,0.3438935,1,10,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
29,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,10,left,0.765857,0,10,2,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
30,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,1,right,0.358656,1,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
31,"['low', 6]",6,black,135,left,down,low,black_low_135_down,white_low_45_down,1,left,0.1523258,1,1,4,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
32,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,8,left,0.0504015,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
33,"['low', 3]",3,black,135,left,down,low,black_low_135_down,white_low_45_down,4,left,0.464318,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
34,"['high', 6]",6,white,45,left,down,high,white_high_45_down,black_high_135_down,8,left,0.1045645,1,8,4,1,FALSE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
35,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,14,left,0.3589402,0,14,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
36,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,3,left,0.4508803,0,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
37,"['low', 6]",6,black,135,left,down,low,black_low_135_down,white_low_45_down,1,left,0.178176,1,1,5,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
38,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,1,right,0.4313882,1,1,6,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
39,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,8,left,0.7989214,1,8,8,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
40,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,7,left,0.1305918,0,7,9,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
41,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,8,left,0.6106158,1,8,4,1,TRUE,2,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
42,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,9,left,0.078767,1,9,3,1,TRUE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
43,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,17,right,0.9284788,0,17,3,0,TRUE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
44,"['low', 1]",1,black,135,left,up,low,black_low_135_up,white_low_45_up,8,right,0.1065969,0,8,4,1,FALSE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
45,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,13,right,0.3142647,1,13,3,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
46,"['low', 6]",6,white,45,left,down,low,white_low_45_down,black_low_135_down,1,left,0.2137406,1,1,7,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
47,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,1,left,0.0405395,1,1,8,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
48,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,7,left,0.7916317,1,7,5,1,FALSE,2,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
49,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,6,left,0.0212738,0,6,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
50,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,12,left,0.7163387,1,12,4,1,TRUE,1,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
51,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,20,left,0.1010622,1,20,4,0,FALSE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
52,"['high', 1]",1,white,135,right,down,high,white_high_135_down,black_high_45_down,19,right,0.0995501,1,19,5,1,TRUE,3,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
53,"['low', 1]",1,white,45,left,up,low,white_low_45_up,black_low_135_up,11,left,0.7247404,1,11,5,0,TRUE,3,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
54,"['low', 1]",1,white,45,left,up,low,white_low_45_up,black_low_135_up,10,left,0.6126088,1,10,6,1,TRUE,4,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
55,"['low', 1]",1,white,45,left,down,low,white_low_45_down,black_low_135_down,9,left,0.0657971,1,9,7,1,FALSE,4,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
56,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,10,left,0.6503118,1,10,10,0,TRUE,2,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
57,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,7,right,0.3664687,1,7,5,1,FALSE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
58,"['low', 1]",1,white,45,left,up,low,white_low_45_up,black_low_135_up,8,left,0.099428,1,8,8,1,FALSE,4,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
59,"['high', 6]",6,white,45,left,down,high,white_high_45_down,black_high_135_down,6,left,0.0152768,1,6,6,1,FALSE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
60,"['high', 3]",3,white,135,right,down,high,white_high_135_down,black_high_45_down,11,right,0.3557282,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
61,"['low', 6]",6,black,135,left,down,low,black_low_135_down,white_low_45_down,1,right,0.6537369,0,1,9,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
62,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,11,right,0.3247535,0,11,5,1,FALSE,1,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
63,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,13,right,0.0640972,1,13,3,0,TRUE,2,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,9,3.2.2021,164.9596096
