trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,fixation,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,8,1.70448597,right,0.2753437,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
1,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,3,1.693410224,left,0.1261491,0,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
2,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,8,1.331059232,left,0.8220786,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
3,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,8,1.311820731,right,0.2375407,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
4,"['high', 3]",3,black,135,left,up,high,black_high_135_up,white_high_45_up,8,1.282429027,left,0.7299678,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
5,"['low', 2]",2,black,45,right,down,low,black_low_45_down,white_low_135_down,3,1.329789362,right,0.3532358,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
6,"['high', 3]",3,white,45,left,down,high,white_high_45_down,black_high_135_down,7,1.200648072,left,0.4113649,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
7,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,11,1.420227134,right,0.3220554,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
8,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,3,1.594543711,right,0.3033966,0,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
9,"['high', 4]",4,white,45,left,down,high,white_high_45_down,black_high_135_down,10,1.050148865,left,0.0982264,1,10,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
10,"['low', 2]",2,white,45,left,down,low,white_low_45_down,black_low_135_down,2,1.919144331,left,0.2551909,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
11,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,6,1.714398662,left,0.1432248,0,6,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
12,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,1,1.323703003,right,0.24735,0,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
13,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,7,1.176042497,left,0.2157083,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
14,"['high', 2]",2,white,135,right,up,high,white_high_135_up,black_high_45_up,8,1.726889972,left,0.1115071,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
15,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,12,1.481926901,left,0.2367606,0,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
16,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,9,1.685653818,right,0.4448521,0,9,3,1,FALSE,1,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
17,"['high', 3]",3,white,135,right,up,high,white_high_135_up,black_high_45_up,6,1.739137375,right,0.1724119,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
18,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,15,1.101515834,right,0.246557,1,15,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
19,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,12,1.637602309,right,0.2219512,1,12,4,0,TRUE,2,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
20,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,10,1.087204466,right,0.6851968,1,10,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
21,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,11,1.409846005,left,0.9037302,1,11,5,1,TRUE,3,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
22,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,11,1.856086724,right,0.3439527,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
23,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,10,1.365409357,left,0.2124129,1,10,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
24,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,9,1.210774565,left,0.2355363,0,9,2,0,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
25,"['high', 6]",6,white,45,left,down,high,white_high_45_down,black_high_135_down,7,1.125067232,left,0.177757,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
26,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,6,1.064183062,right,0.8479849,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
27,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,5,1.163621086,left,0.2568729,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
28,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,3,1.422140147,left,0.5163784,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
29,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,9,1.823152258,left,0.33331,0,9,3,1,TRUE,2,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
30,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,12,1.636058241,left,0.3955012,1,12,4,0,TRUE,3,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
31,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,6,1.578233897,right,0.0108099,1,6,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
32,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,4,1.43404704,right,0.4626095,1,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
33,"['high', 3]",3,white,135,right,up,high,white_high_135_up,black_high_45_up,5,1.848427164,right,0.3371613,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
34,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,14,1.852796713,right,0.455444,1,14,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
35,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,5,1.883937242,right,0.3085297,1,5,2,1,TRUE,1,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
36,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,10,1.02951269,right,0.2183192,1,10,6,1,FALSE,3,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
37,"['high', 2]",2,black,45,right,up,high,black_high_45_up,white_high_135_up,9,1.88883397,right,0.3124245,1,9,3,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
38,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,3,1.106151896,right,0.3155136,1,3,5,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
39,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,2,1.746207984,right,0.3542881,1,2,6,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
40,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,11,1.993551758,right,0.290657,1,11,5,1,TRUE,4,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
41,"['low', 2]",2,white,135,right,up,low,white_low_135_up,black_low_45_up,4,1.586864748,right,0.3577343,1,4,3,0,TRUE,1,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
42,"['low', 3]",3,white,135,right,up,low,white_low_135_up,black_low_45_up,12,1.224041607,right,0.18463,1,12,3,0,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
43,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,8,1.488158543,left,0.3682599,0,8,4,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
44,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,11,1.102276921,right,0.250655,0,11,5,0,TRUE,2,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
45,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,14,1.963405291,left,0.1612378,1,14,6,0,FALSE,2,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
46,"['high', 3]",3,white,45,left,down,high,white_high_45_down,black_high_135_down,4,1.137134274,left,0.4163802,1,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
47,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,1,1.337282766,right,0.2925153,0,1,7,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
48,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,13,1.371447761,right,0.1749747,1,13,3,1,FALSE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
49,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,3,1.395512642,right,0.3125721,1,3,5,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
50,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,13,1.692546637,right,0.238278,1,13,7,1,TRUE,3,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
51,"['high', 1]",1,white,45,left,down,high,white_high_45_down,black_high_135_down,12,1.205733734,left,0.0837864,1,12,4,1,FALSE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
52,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,3,1.981543074,right,0.4323601,1,3,4,1,TRUE,2,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
53,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,9,1.897887987,right,0.2929091,1,9,7,1,FALSE,3,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
54,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,4,1.060479079,right,0.314531,1,4,3,1,FALSE,1,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
55,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,2,1.206196918,right,0.3789026,0,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
56,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,2,1.868515621,right,0.316585,1,2,5,1,FALSE,2,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
57,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,2,1.264184046,left,0.1687749,0,2,6,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,10,3.2.2021,164.9713115
