trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,4,left,0.2830604,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
1,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,8,right,0.3470224,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
2,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,12,left,0.3236686,0,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
3,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,3,left,0.4349697,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
4,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,8,right,0.4148502,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
5,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.372879,0,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
6,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,0.2057236,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
7,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.2250866,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
8,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,5,left,0.2464053,1,5,3,0,TRUE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
9,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,7,right,0.1342343,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,8,3.2.2021,164.9756661
