trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 3]",3,white,135,right,up,low,white_low_135_up,black_low_45_up,3,right,0.1541593,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
1,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,4,right,0.3427274,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
2,"['high', 3]",3,white,135,right,up,high,white_high_135_up,black_high_45_up,8,right,0.500731,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
3,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,3,right,0.810359,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
4,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,8,left,1.0718096,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
5,"['high', 3]",3,black,45,right,up,high,black_high_45_up,white_high_135_up,7,right,0.3899904,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
6,"['low', 3]",3,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.3651051,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
7,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,8,left,0.3618156,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
8,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,3,right,0.3739663,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
9,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,11,right,0.7005324,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
10,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.1724892,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
11,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,6,left,0.1865584,0,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
12,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,1,left,0.4744757,0,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
13,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.0558879,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
14,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,8,left,0.4451227,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
15,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,11,left,0.5433255,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
16,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,1,right,0.1761278,1,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
17,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,12,right,0.5006485,1,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
18,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,9,left,0.2874499,1,9,3,0,TRUE,1,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
19,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,11,left,0.4373954,0,11,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
20,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,11,left,0.4354966,0,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
21,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,14,right,0.4033711,1,14,2,0,TRUE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
22,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,1,left,0.1912978,1,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
23,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,10,right,0.1251555,1,10,2,1,TRUE,1,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,1,3.2.2021,164.9770269
