trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,0.1658219,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
1,"['high', 6]",6,white,135,right,down,high,white_high_135_down,black_high_45_down,8,left,0.9102721,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
2,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,4,right,0.1611184,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
3,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,8,left,1.3635102,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
4,"['low', 4]",4,black,45,right,down,low,black_low_45_down,white_low_135_down,3,right,0.4545986,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
5,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,0.2392343,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
6,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,4,left,0.2366148,0,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
7,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,4,right,0.1594491,0,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
8,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,8,right,0.1359641,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
9,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,7,left,0.0940947,0,7,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
10,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,10,left,0.8657884,1,10,2,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
11,"['high', 4]",4,black,45,right,up,high,black_high_45_up,white_high_135_up,7,left,0.1562095,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
12,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,7,left,0.1545062,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
13,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,10,left,0.187339,1,10,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,4,3.2.2021,164.9563443
