trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,8,right,0.1867553,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
1,"['low', 1]",1,white,45,left,down,low,white_low_45_down,black_low_135_down,8,left,0.2236892,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
2,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,4,left,0.4443847,0,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
3,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,8,right,0.2350162,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
4,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,8,right,0.2167434,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
5,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,7,left,1.0643814,0,7,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
6,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,10,left,0.3275959,0,10,2,0,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
7,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,13,right,0.222682,1,13,3,0,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
8,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,12,right,0.2393784,1,12,4,1,TRUE,1,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
9,"['low', 6]",6,black,135,left,down,low,black_low_135_down,white_low_45_down,11,left,0.8840291,1,11,5,1,FALSE,1,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
10,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,10,left,0.3057245,0,10,6,1,FALSE,1,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
11,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.2618241,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
12,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,7,right,0.334256,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
13,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,11,left,0.2265405,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
14,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,4,left,0.2286224,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
15,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,13,left,0.2238333,1,13,7,0,TRUE,2,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
16,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,4,left,0.2460512,0,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
17,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,7,left,0.7550452,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
18,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,10,left,0.2308988,1,10,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
19,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,7,left,0.3949635,0,7,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
20,"['low', 4]",4,black,135,left,down,low,black_low_135_down,white_low_45_down,3,left,0.185614,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
21,"['high', 4]",4,white,45,left,down,high,white_high_45_down,black_high_135_down,7,left,0.8519343,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
22,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,10,left,0.2471769,1,10,2,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
23,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.3132305,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
24,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,12,left,0.2414632,0,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
25,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,1,left,0.2306149,0,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
26,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,9,left,0.8403669,1,9,3,1,TRUE,1,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
27,"['low', 3]",3,black,135,left,down,low,black_low_135_down,white_low_45_down,4,left,0.2501137,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
28,"['low', 1]",1,white,45,left,down,low,white_low_45_down,black_low_135_down,6,left,0.1587931,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
29,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,5,right,0.1727974,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
30,"['high', 2]",2,black,45,right,up,high,black_high_45_up,white_high_135_up,9,left,0.2876395,0,9,3,1,FALSE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
31,"['low', 6]",6,black,135,left,down,low,black_low_135_down,white_low_45_down,12,left,1.0333603,1,12,8,1,TRUE,3,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
32,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,6,left,0.2312092,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
33,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,12,left,0.2166499,0,12,4,0,TRUE,2,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
34,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,6,left,0.8025894,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
35,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,5,left,0.1775906,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
36,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,4,right,0.2082708,1,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
37,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,15,left,0.3102364,1,15,5,0,FALSE,2,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
38,"['high', 3]",3,white,45,left,down,high,white_high_45_down,black_high_135_down,7,left,0.2128641,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
39,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,15,right,0.5798699,1,15,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
40,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,14,right,0.1996469,0,14,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
41,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,11,right,1.163886,1,11,9,1,FALSE,3,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
42,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,6,left,0.2818037,0,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
43,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,3,left,0.2291513,0,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
44,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,4,left,0.0725823,1,4,4,0,TRUE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
45,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,8,right,0.1848521,0,8,4,1,FALSE,1,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
46,"['high', 3]",3,black,45,right,up,high,black_high_45_up,white_high_135_up,9,right,0.2134223,1,9,3,0,TRUE,1,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
47,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,6,left,0.231426,0,6,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
48,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,10,left,0.7225222,0,10,10,1,FALSE,3,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
49,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,17,right,0.2708295,0,17,3,0,TRUE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
50,"['high', 4]",4,white,45,left,down,high,white_high_45_down,black_high_135_down,5,left,0.9242799,1,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
51,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,14,right,0.0682795,0,14,6,1,TRUE,3,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
52,"['high', 6]",6,white,135,right,down,high,white_high_135_down,black_high_45_down,4,left,0.7162567,0,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
53,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,7,left,0.566411,1,7,5,0,TRUE,1,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
54,"['low', 3]",3,white,45,left,up,low,white_low_45_up,black_low_135_up,9,left,0.2325185,1,9,3,0,FALSE,1,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
55,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,4,left,0.2570979,1,4,4,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
56,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,6,left,2.3482204,1,6,6,1,TRUE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
57,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,17,right,0.313422,1,17,7,0,TRUE,4,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
58,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,3,left,0.2739185,0,3,5,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
59,"['low', 2]",2,black,135,left,down,low,black_low_135_down,white_low_45_down,11,left,0.2744108,1,11,5,0,TRUE,2,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
60,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,16,right,1.4887037,1,16,8,1,TRUE,5,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
61,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,5,left,0.2231711,0,5,7,1,FALSE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
62,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,0.1006321,1,8,8,0,TRUE,3,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
63,"['low', 3]",3,black,135,left,up,low,black_low_135_up,white_low_45_up,8,right,0.1605058,0,8,4,1,TRUE,2,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
64,"['high', 1]",1,white,45,left,up,high,white_high_45_up,black_high_135_up,20,left,0.3915648,1,20,4,0,FALSE,2,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
65,"['high', 4]",4,white,45,left,up,high,white_high_45_up,black_high_135_up,6,right,0.2175816,0,6,6,0,TRUE,1,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,6,3.2.2021,164.9639636
