trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,4,left,0.1048234,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
1,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,8,right,0.131234,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
2,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,4,left,0.737163,0,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
3,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,8,left,0.1374718,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
4,"['low', 3]",3,black,135,left,up,low,black_low_135_up,white_low_45_up,4,left,0.442861,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
5,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,4,right,0.2646836,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
6,"['high', 4]",4,black,45,right,up,high,black_high_45_up,white_high_135_up,8,left,0.3791557,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
7,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,3,left,0.3660872,0,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
8,"['low', 4]",4,white,45,left,up,low,white_low_45_up,black_low_135_up,3,left,0.402327,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
9,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,7,left,0.3093517,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
10,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,7,right,0.3071592,0,7,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
11,"['high', 2]",2,white,135,right,up,high,white_high_135_up,black_high_45_up,6,left,0.3195419,0,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
12,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.3422648,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
13,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,6,left,0.288516,1,6,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
14,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.2254782,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
15,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.0992522,1,2,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
16,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,5,left,1.3873275,1,5,3,1,TRUE,2,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
17,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,9,right,0.3019374,1,9,3,0,TRUE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
18,"['low', 2]",2,black,45,right,down,low,black_low_45_down,white_low_135_down,10,right,0.328791,1,10,2,0,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
19,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,11,left,3.5512299,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
20,"['high', 1]",1,white,45,left,up,high,white_high_45_up,black_high_135_up,12,left,0.3471109,1,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
21,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,4,right,0.4987229,1,4,4,1,FALSE,2,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
22,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,7,left,1.5767737,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
23,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,9,right,0.4902934,1,9,3,1,TRUE,1,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
24,"['low', 3]",3,white,135,right,down,low,white_low_135_down,black_low_45_down,3,right,0.2647338,1,3,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
25,"['high', 4]",4,black,45,right,up,high,black_high_45_up,white_high_135_up,10,left,0.2619041,0,10,2,1,TRUE,1,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
26,"['high', 3]",3,white,135,right,down,high,white_high_135_down,black_high_45_down,7,right,0.3379301,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
27,"['high', 4]",4,black,45,right,up,high,black_high_45_up,white_high_135_up,13,left,0.0165216,0,13,3,0,TRUE,2,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
28,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,6,left,0.3061234,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
29,"['low', 4]",4,black,135,left,down,low,black_low_135_down,white_low_45_down,1,right,0.5550457,0,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
30,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,3,right,0.3851484,1,3,5,1,FALSE,2,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
31,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,6,left,0.2534487,1,6,2,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
32,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,4,left,0.2839686,1,4,4,0,TRUE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
33,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,8,right,0.3036431,0,8,4,1,TRUE,2,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
34,"['low', 1]",1,black,45,right,down,low,black_low_45_down,white_low_135_down,11,left,0.4023974,0,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
35,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,5,right,0.2506722,0,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
36,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,8,left,0.729808,1,8,4,0,TRUE,1,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
37,"['high', 6]",6,white,135,right,down,high,white_high_135_down,black_high_45_down,7,right,0.2545716,1,7,5,1,TRUE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
38,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,5,right,0.5094484,0,5,3,1,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
39,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,11,left,0.3890866,1,11,5,0,TRUE,3,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
40,"['high', 6]",6,white,135,right,down,high,white_high_135_down,black_high_45_down,6,right,0.2696379,1,6,6,1,FALSE,2,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
41,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,16,right,0.3230263,1,16,4,0,FALSE,2,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,5,3.2.2021,164.9549838
