trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 2]",2,black,135,left,up,low,black_low_135_up,white_low_45_up,4,left,0.304162,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
1,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,8,left,0.1917586,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
2,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,8,right,0.1751815,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
3,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,3,left,0.2671999,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
4,"['low', 3]",3,white,45,left,up,low,white_low_45_up,black_low_135_up,3,left,0.0380545,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
5,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,8,left,0.6804936,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
6,"['high', 2]",2,black,45,right,up,high,black_high_45_up,white_high_135_up,7,left,0.2602114,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
7,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.4035823,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
8,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,3,left,0.0253334,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
9,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,0.0067592,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
10,"['high', 3]",3,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,0.7434015,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
11,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,7,right,0.1586818,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
12,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,2,left,0.0646958,0,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
13,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,2,left,0.4703274,0,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
14,"['low', 3]",3,black,135,left,down,low,black_low_135_down,white_low_45_down,1,left,0.4346588,1,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
15,"['low', 4]",4,black,45,right,down,low,black_low_45_down,white_low_135_down,5,left,0.1990315,0,5,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
16,"['high', 2]",2,white,135,right,up,high,white_high_135_up,black_high_45_up,10,left,0.1414482,0,10,2,0,TRUE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
17,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,8,left,0.2367717,0,8,3,0,FALSE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
18,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,11,right,0.365172,1,11,4,0,FALSE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
19,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,7,left,0.209787,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,2,3.2.2021,164.8921523
