trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 32, 2, True]",TRUE,32,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2761505,1,120,3,3.2.2021,120.1901408
1,"['high', 8, 2, True]",TRUE,8,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.1049742,0,120,3,3.2.2021,120.1901408
2,"['low', 32, 2, True]",TRUE,32,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.9051703,1,120,3,3.2.2021,120.1901408
3,"['high', 64, 2, True]",TRUE,64,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.1725352,1,120,3,3.2.2021,120.1901408
4,"['high', 3, 2, True]",TRUE,3,white,135,right,up,high,white_high_135_up,black_high_45_up,2,left,0.098844,0,120,3,3.2.2021,120.1901408
5,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.2233937,1,120,3,3.2.2021,120.1901408
6,"['low', 8, 2, True]",TRUE,8,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.1337796,1,120,3,3.2.2021,120.1901408
7,"['high', 1, 2, False]",FALSE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.3508161,0,120,3,3.2.2021,120.1901408
8,"['high', 4, 2, True]",TRUE,4,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.1314475,0,120,3,3.2.2021,120.1901408
9,"['high', 2, 2, True]",TRUE,2,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.6198716,0,120,3,3.2.2021,120.1901408
10,"['low', 16, 2, True]",TRUE,16,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4141923,1,120,3,3.2.2021,120.1901408
11,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.4685866,1,120,3,3.2.2021,120.1901408
12,"['high', 32, 2, True]",TRUE,32,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.0690433,1,120,3,3.2.2021,120.1901408
13,"['high', 1, 2, True]",TRUE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.7769101,1,120,3,3.2.2021,120.1901408
14,"['low', 4, 2, True]",TRUE,4,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.1275092,1,120,3,3.2.2021,120.1901408
15,"['high', 16, 2, True]",TRUE,16,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.4639347,1,120,3,3.2.2021,120.1901408
16,"['high', 2, 2, True]",TRUE,2,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.3040255,0,120,3,3.2.2021,120.1901408
17,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.4195465,1,120,3,3.2.2021,120.1901408
18,"['low', 1, 2, False]",FALSE,1,black,45,right,down,low,black_low_45_down,white_low_135_down,2,left,0.3795932,0,120,3,3.2.2021,120.1901408
19,"['high', 64, 2, True]",TRUE,64,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.4720292,1,120,3,3.2.2021,120.1901408
20,"['low', 2, 2, True]",TRUE,2,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.1594015,0,120,3,3.2.2021,120.1901408
21,"['low', 32, 2, True]",TRUE,32,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.6128198,1,120,3,3.2.2021,120.1901408
22,"['low', 3, 2, True]",TRUE,3,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4427405,1,120,3,3.2.2021,120.1901408
23,"['low', 64, 2, True]",TRUE,64,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.4793933,1,120,3,3.2.2021,120.1901408
24,"['low', 8, 2, True]",TRUE,8,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4302477,1,120,3,3.2.2021,120.1901408
25,"['high', 32, 2, True]",TRUE,32,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.1406147,1,120,3,3.2.2021,120.1901408
26,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.4819079,1,120,3,3.2.2021,120.1901408
27,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,1.2690824,1,120,3,3.2.2021,120.1901408
28,"['high', 1, 2, False]",FALSE,1,white,45,left,up,high,white_high_45_up,black_high_135_up,2,right,0.6302359,0,120,3,3.2.2021,120.1901408
29,"['low', 8, 2, True]",TRUE,8,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.4537588,1,120,3,3.2.2021,120.1901408
30,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.324491,0,120,3,3.2.2021,120.1901408
31,"['high', 3, 2, True]",TRUE,3,white,45,left,down,high,white_high_45_down,black_high_135_down,2,right,0.4703441,0,120,3,3.2.2021,120.1901408
32,"['low', 4, 2, True]",TRUE,4,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,0.1449287,0,120,3,3.2.2021,120.1901408
33,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.4884532,1,120,3,3.2.2021,120.1901408
34,"['low', 4, 2, True]",TRUE,4,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,1.3998344,0,120,3,3.2.2021,120.1901408
35,"['high', 1, 2, True]",TRUE,1,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.3659276,0,120,3,3.2.2021,120.1901408
36,"['low', 16, 2, True]",TRUE,16,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4260797,1,120,3,3.2.2021,120.1901408
37,"['low', 8, 2, True]",TRUE,8,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.4188859,1,120,3,3.2.2021,120.1901408
38,"['low', 1, 2, False]",FALSE,1,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4251817,1,120,3,3.2.2021,120.1901408
39,"['high', 32, 2, True]",TRUE,32,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.0941575,1,120,3,3.2.2021,120.1901408
40,"['low', 16, 2, True]",TRUE,16,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.1963496,1,120,3,3.2.2021,120.1901408
41,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.167023,1,120,3,3.2.2021,120.1901408
42,"['high', 2, 2, True]",TRUE,2,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.1762646,1,120,3,3.2.2021,120.1901408
43,"['high', 3, 60, False]",FALSE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,60,right,0.1710127,1,120,3,3.2.2021,120.1901408
44,"['high', 8, 2, True]",TRUE,8,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3208143,1,120,3,3.2.2021,120.1901408
45,"['low', 3, 2, True]",TRUE,3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,1.0777158,1,120,3,3.2.2021,120.1901408
46,"['low', 3, 2, True]",TRUE,3,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.1942932,1,120,3,3.2.2021,120.1901408
47,"['high', 8, 2, True]",TRUE,8,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.2288359,1,120,3,3.2.2021,120.1901408
48,"['low', 3, 2, True]",TRUE,3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.3936283,1,120,3,3.2.2021,120.1901408
49,"['high', 3, 60, False]",FALSE,3,black,135,left,up,high,black_high_135_up,white_high_45_up,60,left,0.400312,1,120,3,3.2.2021,120.1901408
50,"['low', 64, 2, True]",TRUE,64,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.2744706,1,120,3,3.2.2021,120.1901408
51,"['high', 1, 2, True]",TRUE,1,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.8135036,1,120,3,3.2.2021,120.1901408
52,"['high', 64, 2, True]",TRUE,64,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.1374874,1,120,3,3.2.2021,120.1901408
53,"['low', 1, 2, False]",FALSE,1,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.7290215,1,120,3,3.2.2021,120.1901408
54,"['low', 2, 2, True]",TRUE,2,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.0513738,1,120,3,3.2.2021,120.1901408
55,"['low', 3, 2, True]",TRUE,3,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.1504436,1,120,3,3.2.2021,120.1901408
56,"['high', 16, 2, True]",TRUE,16,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3622312,1,120,3,3.2.2021,120.1901408
57,"['high', 8, 2, True]",TRUE,8,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.372364,1,120,3,3.2.2021,120.1901408
58,"['high', 64, 2, True]",TRUE,64,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.4220779,1,120,3,3.2.2021,120.1901408
59,"['low', 1, 2, True]",TRUE,1,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.5573127,1,120,3,3.2.2021,120.1901408
60,"['high', 3, 60, False]",FALSE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,60,right,0.4800716,1,120,3,3.2.2021,120.1901408
61,"['low', 64, 2, True]",TRUE,64,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.3310764,1,120,3,3.2.2021,120.1901408
62,"['low', 8, 2, True]",TRUE,8,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.640222,1,120,3,3.2.2021,120.1901408
63,"['high', 1, 2, False]",FALSE,1,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.4786564,1,120,3,3.2.2021,120.1901408
64,"['low', 64, 2, True]",TRUE,64,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,1.1309181,1,120,3,3.2.2021,120.1901408
65,"['low', 64, 2, True]",TRUE,64,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.1942933,1,120,3,3.2.2021,120.1901408
66,"['high', 64, 2, True]",TRUE,64,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3817795,1,120,3,3.2.2021,120.1901408
67,"['low', 2, 2, True]",TRUE,2,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.1740417,1,120,3,3.2.2021,120.1901408
68,"['low', 64, 2, True]",TRUE,64,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.7646229,1,120,3,3.2.2021,120.1901408
69,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.4210833,1,120,3,3.2.2021,120.1901408
70,"['low', 16, 2, True]",TRUE,16,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4066593,1,120,3,3.2.2021,120.1901408
71,"['high', 8, 2, True]",TRUE,8,white,135,right,down,high,white_high_135_down,black_high_45_down,2,left,0.1776922,0,120,3,3.2.2021,120.1901408
72,"['low', 3, 2, True]",TRUE,3,white,135,right,up,low,white_low_135_up,black_low_45_up,2,left,0.1115774,0,120,3,3.2.2021,120.1901408
73,"['high', 1, 2, False]",FALSE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.7141783,1,120,3,3.2.2021,120.1901408
74,"['high', 4, 2, True]",TRUE,4,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.6239491,1,120,3,3.2.2021,120.1901408
75,"['high', 32, 2, True]",TRUE,32,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2965518,1,120,3,3.2.2021,120.1901408
76,"['high', 16, 2, True]",TRUE,16,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.2773813,1,120,3,3.2.2021,120.1901408
77,"['high', 1, 2, False]",FALSE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3466853,1,120,3,3.2.2021,120.1901408
78,"['high', 64, 2, True]",TRUE,64,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.4017714,1,120,3,3.2.2021,120.1901408
79,"['high', 4, 2, True]",TRUE,4,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,1.658491,1,120,3,3.2.2021,120.1901408
80,"['high', 32, 2, True]",TRUE,32,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3112842,1,120,3,3.2.2021,120.1901408
81,"['low', 8, 2, True]",TRUE,8,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.3802887,1,120,3,3.2.2021,120.1901408
82,"['low', 4, 2, True]",TRUE,4,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2914861,1,120,3,3.2.2021,120.1901408
83,"['high', 16, 2, True]",TRUE,16,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.4651856,1,120,3,3.2.2021,120.1901408
84,"['high', 1, 2, True]",TRUE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.2981262,0,120,3,3.2.2021,120.1901408
85,"['high', 64, 2, True]",TRUE,64,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.3767231,1,120,3,3.2.2021,120.1901408
86,"['high', 1, 2, True]",TRUE,1,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.5683336,1,120,3,3.2.2021,120.1901408
87,"['high', 64, 2, True]",TRUE,64,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.3837688,1,120,3,3.2.2021,120.1901408
88,"['low', 4, 2, True]",TRUE,4,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2357134,1,120,3,3.2.2021,120.1901408
89,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.2151271,1,120,3,3.2.2021,120.1901408
90,"['high', 1, 2, True]",TRUE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.2170189,1,120,3,3.2.2021,120.1901408
91,"['high', 3, 2, True]",TRUE,3,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.1481197,1,120,3,3.2.2021,120.1901408
92,"['low', 3, 2, True]",TRUE,3,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.1963444,0,120,3,3.2.2021,120.1901408
93,"['high', 32, 2, True]",TRUE,32,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.9669749,1,120,3,3.2.2021,120.1901408
94,"['low', 2, 2, True]",TRUE,2,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.1485931,0,120,3,3.2.2021,120.1901408
95,"['high', 8, 2, True]",TRUE,8,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.1869658,1,120,3,3.2.2021,120.1901408
96,"['high', 3, 60, False]",FALSE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,60,right,3.5454172,1,120,3,3.2.2021,120.1901408
97,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.5319727,1,120,3,3.2.2021,120.1901408
98,"['high', 2, 2, True]",TRUE,2,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.3892742,0,120,3,3.2.2021,120.1901408
99,"['high', 4, 2, True]",TRUE,4,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.5518631,1,120,3,3.2.2021,120.1901408
100,"['low', 1, 2, False]",FALSE,1,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.467896,1,120,3,3.2.2021,120.1901408
101,"['high', 4, 2, True]",TRUE,4,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.846879,1,120,3,3.2.2021,120.1901408
102,"['high', 4, 2, True]",TRUE,4,white,45,left,down,high,white_high_45_down,black_high_135_down,2,right,0.2770557,0,120,3,3.2.2021,120.1901408
103,"['low', 4, 2, True]",TRUE,4,black,45,right,up,low,black_low_45_up,white_low_135_up,2,left,0.2250862,0,120,3,3.2.2021,120.1901408
104,"['high', 16, 2, True]",TRUE,16,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.2706668,1,120,3,3.2.2021,120.1901408
105,"['high', 1, 2, False]",FALSE,1,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.3766592,1,120,3,3.2.2021,120.1901408
106,"['high', 3, 60, False]",FALSE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,60,right,0.4144537,1,120,3,3.2.2021,120.1901408
107,"['high', 64, 2, True]",TRUE,64,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2444154,1,120,3,3.2.2021,120.1901408
108,"['low', 1, 2, False]",FALSE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,0.4124561,0,120,3,3.2.2021,120.1901408
109,"['high', 2, 2, True]",TRUE,2,white,45,left,down,high,white_high_45_down,black_high_135_down,2,right,0.1056341,0,120,3,3.2.2021,120.1901408
