trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 1, 2, True]",TRUE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.378003,0,120,1,3.2.2021,119.9872334
1,"['low', 8, 2, True]",TRUE,8,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.3547912,0,120,1,3.2.2021,119.9872334
2,"['low', 8, 2, True]",TRUE,8,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,0.1566285,0,120,1,3.2.2021,119.9872334
3,"['high', 1, 2, True]",TRUE,1,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.149569,1,120,1,3.2.2021,119.9872334
4,"['low', 32, 2, True]",TRUE,32,white,45,left,up,low,white_low_45_up,black_low_135_up,2,right,0.1599975,0,120,1,3.2.2021,119.9872334
5,"['high', 16, 2, True]",TRUE,16,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.0699308,1,120,1,3.2.2021,119.9872334
6,"['low', 3, 2, True]",TRUE,3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.4287191,1,120,1,3.2.2021,119.9872334
7,"['low', 32, 2, True]",TRUE,32,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.296121,0,120,1,3.2.2021,119.9872334
8,"['high', 3, 60, False]",FALSE,3,black,135,left,down,high,black_high_135_down,white_high_45_down,60,left,0.7904688,1,120,1,3.2.2021,119.9872334
9,"['low', 64, 2, True]",TRUE,64,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.0915051,1,120,1,3.2.2021,119.9872334
10,"['high', 1, 2, False]",FALSE,1,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.3788938,1,120,1,3.2.2021,119.9872334
11,"['low', 2, 2, True]",TRUE,2,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.4946244,1,120,1,3.2.2021,119.9872334
12,"['high', 4, 2, True]",TRUE,4,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.1377318,1,120,1,3.2.2021,119.9872334
13,"['high', 8, 2, True]",TRUE,8,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.21451,1,120,1,3.2.2021,119.9872334
14,"['low', 64, 2, True]",TRUE,64,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.2311425,1,120,1,3.2.2021,119.9872334
15,"['low', 16, 2, True]",TRUE,16,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.1867575,1,120,1,3.2.2021,119.9872334
16,"['low', 16, 2, True]",TRUE,16,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,1.6878387,0,120,1,3.2.2021,119.9872334
17,"['high', 32, 2, True]",TRUE,32,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.1337768,0,120,1,3.2.2021,119.9872334
18,"['high', 1, 2, True]",TRUE,1,white,45,left,up,high,white_high_45_up,black_high_135_up,2,right,0.1681468,0,120,1,3.2.2021,119.9872334
19,"['low', 2, 2, True]",TRUE,2,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.3981964,1,120,1,3.2.2021,119.9872334
20,"['high', 2, 2, True]",TRUE,2,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,1.4149271,0,120,1,3.2.2021,119.9872334
21,"['low', 3, 2, True]",TRUE,3,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.4163217,1,120,1,3.2.2021,119.9872334
22,"['low', 16, 2, True]",TRUE,16,white,45,left,up,low,white_low_45_up,black_low_135_up,2,right,0.1056311,0,120,1,3.2.2021,119.9872334
23,"['low', 64, 2, True]",TRUE,64,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.2163916,1,120,1,3.2.2021,119.9872334
24,"['low', 1, 2, False]",FALSE,1,white,45,left,up,low,white_low_45_up,black_low_135_up,2,right,0.3104236,0,120,1,3.2.2021,119.9872334
25,"['high', 16, 2, True]",TRUE,16,white,45,left,up,high,white_high_45_up,black_high_135_up,2,right,0.2709056,0,120,1,3.2.2021,119.9872334
