trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.4250199,1,120,2,3.2.2021,119.9934244
1,"['low', 1, 2, True]",TRUE,1,white,45,left,up,low,white_low_45_up,black_low_135_up,2,right,0.5774635,0,120,2,3.2.2021,119.9934244
2,"['high', 4, 2, True]",TRUE,4,white,45,left,down,high,white_high_45_down,black_high_135_down,2,right,0.4325534,0,120,2,3.2.2021,119.9934244
3,"['low', 2, 2, True]",TRUE,2,black,45,right,up,low,black_low_45_up,white_low_135_up,2,left,0.9712041,0,120,2,3.2.2021,119.9934244
4,"['high', 64, 2, True]",TRUE,64,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3554651,1,120,2,3.2.2021,119.9934244
5,"['low', 64, 2, True]",TRUE,64,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.3480145,1,120,2,3.2.2021,119.9934244
6,"['low', 64, 2, True]",TRUE,64,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.4940663,1,120,2,3.2.2021,119.9934244
7,"['high', 2, 2, True]",TRUE,2,white,45,left,up,high,white_high_45_up,black_high_135_up,2,right,1.2532172,0,120,2,3.2.2021,119.9934244
8,"['low', 1, 2, True]",TRUE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,2.9601804,0,120,2,3.2.2021,119.9934244
9,"['high', 2, 2, True]",TRUE,2,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.5162146,1,120,2,3.2.2021,119.9934244
10,"['low', 8, 2, True]",TRUE,8,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.3417392,1,120,2,3.2.2021,119.9934244
11,"['high', 16, 2, True]",TRUE,16,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,2.7123928,1,120,2,3.2.2021,119.9934244
12,"['low', 3, 2, True]",TRUE,3,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.4882686,1,120,2,3.2.2021,119.9934244
13,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.185571,1,120,2,3.2.2021,119.9934244
14,"['low', 16, 2, True]",TRUE,16,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2148412,1,120,2,3.2.2021,119.9934244
15,"['low', 3, 2, True]",TRUE,3,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.3474877,1,120,2,3.2.2021,119.9934244
16,"['low', 64, 2, True]",TRUE,64,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.210756,1,120,2,3.2.2021,119.9934244
17,"['high', 16, 2, True]",TRUE,16,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.4083531,1,120,2,3.2.2021,119.9934244
18,"['high', 8, 2, True]",TRUE,8,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.4221678,1,120,2,3.2.2021,119.9934244
19,"['high', 1, 2, False]",FALSE,1,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.6803135,1,120,2,3.2.2021,119.9934244
20,"['low', 16, 2, True]",TRUE,16,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.2725403,1,120,2,3.2.2021,119.9934244
21,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.2019493,1,120,2,3.2.2021,119.9934244
22,"['high', 1, 2, True]",TRUE,1,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.4895617,1,120,2,3.2.2021,119.9934244
23,"['high', 3, 2, True]",TRUE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.432101,1,120,2,3.2.2021,119.9934244
24,"['low', 4, 2, True]",TRUE,4,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.2698156,1,120,2,3.2.2021,119.9934244
25,"['high', 3, 2, True]",TRUE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.4322464,1,120,2,3.2.2021,119.9934244
26,"['high', 1, 2, True]",TRUE,1,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,1.1344057,1,120,2,3.2.2021,119.9934244
27,"['high', 3, 2, True]",TRUE,3,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,1.0017505,0,120,2,3.2.2021,119.9934244
28,"['high', 3, 2, True]",TRUE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.615717,0,120,2,3.2.2021,119.9934244
29,"['high', 2, 2, True]",TRUE,2,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.8903081,1,120,2,3.2.2021,119.9934244
30,"['low', 16, 2, True]",TRUE,16,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.2652384,1,120,2,3.2.2021,119.9934244
31,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,1.0691134,0,120,2,3.2.2021,119.9934244
32,"['high', 1, 2, False]",FALSE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.8526941,1,120,2,3.2.2021,119.9934244
33,"['low', 64, 2, True]",TRUE,64,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2848982,1,120,2,3.2.2021,119.9934244
34,"['high', 1, 2, True]",TRUE,1,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,2.8563138,0,120,2,3.2.2021,119.9934244
35,"['low', 1, 2, True]",TRUE,1,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.6341385,1,120,2,3.2.2021,119.9934244
36,"['low', 1, 2, True]",TRUE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.5025126,1,120,2,3.2.2021,119.9934244
