trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 4, 2, True]",TRUE,4,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.1841387,1,120,6,3.2.2021,120.2852685
1,"['low', 2, 2, True]",TRUE,2,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.5778257,0,120,6,3.2.2021,120.2852685
2,"['low', 16, 2, True]",TRUE,16,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.5604918,1,120,6,3.2.2021,120.2852685
3,"['low', 4, 2, True]",TRUE,4,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.4774635,1,120,6,3.2.2021,120.2852685
4,"['low', 1, 2, False]",FALSE,1,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,1.2099195,1,120,6,3.2.2021,120.2852685
5,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.0139829,1,120,6,3.2.2021,120.2852685
6,"['low', 64, 2, True]",TRUE,64,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.519503,0,120,6,3.2.2021,120.2852685
7,"['high', 3, 2, True]",TRUE,3,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,2.8728976,1,120,6,3.2.2021,120.2852685
8,"['high', 64, 2, True]",TRUE,64,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.390256,1,120,6,3.2.2021,120.2852685
9,"['high', 32, 2, True]",TRUE,32,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2472946,1,120,6,3.2.2021,120.2852685
10,"['high', 1, 2, True]",TRUE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.8610152,1,120,6,3.2.2021,120.2852685
11,"['high', 1, 2, False]",FALSE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,1.3360488,1,120,6,3.2.2021,120.2852685
12,"['low', 4, 2, True]",TRUE,4,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,2.804456,0,120,6,3.2.2021,120.2852685
13,"['high', 4, 2, True]",TRUE,4,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.4505643,1,120,6,3.2.2021,120.2852685
14,"['high', 4, 2, True]",TRUE,4,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.365687,1,120,6,3.2.2021,120.2852685
15,"['high', 3, 2, True]",TRUE,3,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,0.6365725,0,120,6,3.2.2021,120.2852685
16,"['high', 16, 2, True]",TRUE,16,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.241276,1,120,6,3.2.2021,120.2852685
17,"['low', 1, 2, False]",FALSE,1,white,45,left,up,low,white_low_45_up,black_low_135_up,2,right,0.9493602,0,120,6,3.2.2021,120.2852685
18,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.7299836,0,120,6,3.2.2021,120.2852685
19,"['low', 8, 2, True]",TRUE,8,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.3035137,1,120,6,3.2.2021,120.2852685
20,"['low', 1, 2, True]",TRUE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,1.1176413,1,120,6,3.2.2021,120.2852685
21,"['high', 3, 2, True]",TRUE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.4338142,1,120,6,3.2.2021,120.2852685
22,"['low', 64, 2, True]",TRUE,64,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.2834143,1,120,6,3.2.2021,120.2852685
23,"['high', 1, 2, False]",FALSE,1,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,2.247079,1,120,6,3.2.2021,120.2852685
24,"['low', 4, 2, True]",TRUE,4,black,45,right,down,low,black_low_45_down,white_low_135_down,2,left,2.312488,0,120,6,3.2.2021,120.2852685
25,"['high', 8, 2, True]",TRUE,8,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,0.9053478,0,120,6,3.2.2021,120.2852685
26,"['high', 3, 2, True]",TRUE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.5302229,1,120,6,3.2.2021,120.2852685
27,"['high', 64, 2, True]",TRUE,64,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.2639751,1,120,6,3.2.2021,120.2852685
28,"['low', 64, 2, True]",TRUE,64,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.3053762,1,120,6,3.2.2021,120.2852685
29,"['high', 2, 2, True]",TRUE,2,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,1.6410584,1,120,6,3.2.2021,120.2852685
30,"['low', 2, 2, True]",TRUE,2,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.5778194,1,120,6,3.2.2021,120.2852685
31,"['high', 4, 2, True]",TRUE,4,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.6519257,1,120,6,3.2.2021,120.2852685
32,"['high', 2, 2, True]",TRUE,2,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,1.7757874,1,120,6,3.2.2021,120.2852685
33,"['low', 3, 2, True]",TRUE,3,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,2.5755046,0,120,6,3.2.2021,120.2852685
34,"['high', 4, 2, True]",TRUE,4,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,1.305655,1,120,6,3.2.2021,120.2852685
35,"['high', 8, 2, True]",TRUE,8,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.8554499,1,120,6,3.2.2021,120.2852685
36,"['low', 3, 2, True]",TRUE,3,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.6074765,1,120,6,3.2.2021,120.2852685
37,"['high', 3, 2, True]",TRUE,3,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.6864186,1,120,6,3.2.2021,120.2852685
38,"['high', 16, 2, True]",TRUE,16,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.2611229,1,120,6,3.2.2021,120.2852685
39,"['high', 64, 2, True]",TRUE,64,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.1326874,1,120,6,3.2.2021,120.2852685
40,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.2761503,1,120,6,3.2.2021,120.2852685
