trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 2, 2, True]",TRUE,2,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.7981088,1,120,4,3.2.2021,120.0252533
1,"['low', 64, 2, True]",TRUE,64,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.1348457,1,120,4,3.2.2021,120.0252533
2,"['high', 4, 2, True]",TRUE,4,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.3990993,0,120,4,3.2.2021,120.0252533
3,"['low', 4, 2, True]",TRUE,4,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.224974,1,120,4,3.2.2021,120.0252533
4,"['low', 2, 2, True]",TRUE,2,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2112671,1,120,4,3.2.2021,120.0252533
5,"['high', 32, 2, True]",TRUE,32,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.1702468,1,120,4,3.2.2021,120.0252533
6,"['low', 4, 2, True]",TRUE,4,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.1474784,0,120,4,3.2.2021,120.0252533
7,"['high', 64, 2, True]",TRUE,64,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.3926123,1,120,4,3.2.2021,120.0252533
8,"['low', 1, 2, False]",FALSE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.7125336,1,120,4,3.2.2021,120.0252533
9,"['low', 32, 2, True]",TRUE,32,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.0666974,1,120,4,3.2.2021,120.0252533
10,"['low', 64, 2, True]",TRUE,64,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.6034911,1,120,4,3.2.2021,120.0252533
11,"['high', 3, 60, False]",FALSE,3,black,135,left,down,high,black_high_135_down,white_high_45_down,60,left,0.2576963,1,120,4,3.2.2021,120.0252533
12,"['low', 2, 2, True]",TRUE,2,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.1927917,1,120,4,3.2.2021,120.0252533
13,"['high', 1, 2, True]",TRUE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.1733546,0,120,4,3.2.2021,120.0252533
14,"['low', 16, 2, True]",TRUE,16,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.4095192,1,120,4,3.2.2021,120.0252533
15,"['low', 1, 2, False]",FALSE,1,black,45,right,up,low,black_low_45_up,white_low_135_up,2,left,0.6420973,0,120,4,3.2.2021,120.0252533
16,"['high', 3, 60, False]",FALSE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,60,right,0.1841894,1,120,4,3.2.2021,120.0252533
17,"['high', 16, 2, True]",TRUE,16,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.7150515,1,120,4,3.2.2021,120.0252533
18,"['low', 3, 2, True]",TRUE,3,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2245068,1,120,4,3.2.2021,120.0252533
19,"['high', 3, 2, True]",TRUE,3,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.1829281,1,120,4,3.2.2021,120.0252533
20,"['low', 16, 2, True]",TRUE,16,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2086259,1,120,4,3.2.2021,120.0252533
21,"['high', 4, 2, True]",TRUE,4,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.1392825,1,120,4,3.2.2021,120.0252533
22,"['high', 1, 2, True]",TRUE,1,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.2771599,0,120,4,3.2.2021,120.0252533
23,"['low', 2, 2, True]",TRUE,2,black,45,right,down,low,black_low_45_down,white_low_135_down,2,left,0.1586838,0,120,4,3.2.2021,120.0252533
24,"['high', 8, 2, True]",TRUE,8,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.3922329,1,120,4,3.2.2021,120.0252533
25,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,2.0592713,1,120,4,3.2.2021,120.0252533
26,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.397951,1,120,4,3.2.2021,120.0252533
27,"['low', 1, 2, True]",TRUE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.2842265,1,120,4,3.2.2021,120.0252533
28,"['high', 1, 2, False]",FALSE,1,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.5614554,1,120,4,3.2.2021,120.0252533
29,"['high', 8, 2, True]",TRUE,8,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.1749698,1,120,4,3.2.2021,120.0252533
30,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.2112504,1,120,4,3.2.2021,120.0252533
31,"['high', 1, 2, True]",TRUE,1,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.5131377,1,120,4,3.2.2021,120.0252533
32,"['high', 1, 2, True]",TRUE,1,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.1458369,1,120,4,3.2.2021,120.0252533
33,"['low', 2, 2, True]",TRUE,2,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.1686815,1,120,4,3.2.2021,120.0252533
34,"['high', 1, 2, True]",TRUE,1,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.1884817,0,120,4,3.2.2021,120.0252533
35,"['high', 32, 2, True]",TRUE,32,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.4792324,1,120,4,3.2.2021,120.0252533
36,"['high', 8, 2, True]",TRUE,8,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.5346144,1,120,4,3.2.2021,120.0252533
37,"['low', 32, 2, True]",TRUE,32,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.3967616,1,120,4,3.2.2021,120.0252533
38,"['high', 32, 2, True]",TRUE,32,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.435683,1,120,4,3.2.2021,120.0252533
39,"['low', 1, 2, True]",TRUE,1,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.1184123,1,120,4,3.2.2021,120.0252533
40,"['low', 3, 2, True]",TRUE,3,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.1203396,0,120,4,3.2.2021,120.0252533
41,"['high', 4, 2, True]",TRUE,4,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.2902804,1,120,4,3.2.2021,120.0252533
42,"['high', 3, 2, True]",TRUE,3,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2112411,1,120,4,3.2.2021,120.0252533
43,"['low', 2, 2, True]",TRUE,2,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.1541791,1,120,4,3.2.2021,120.0252533
44,"['low', 16, 2, True]",TRUE,16,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.7137529,1,120,4,3.2.2021,120.0252533
45,"['low', 2, 2, True]",TRUE,2,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,0.1574808,0,120,4,3.2.2021,120.0252533
46,"['low', 3, 2, True]",TRUE,3,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.4795056,1,120,4,3.2.2021,120.0252533
47,"['high', 4, 2, True]",TRUE,4,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.0875854,1,120,4,3.2.2021,120.0252533
48,"['low', 32, 2, True]",TRUE,32,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.0500544,1,120,4,3.2.2021,120.0252533
49,"['low', 2, 2, True]",TRUE,2,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.1089645,1,120,4,3.2.2021,120.0252533
50,"['low', 16, 2, True]",TRUE,16,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.510514,1,120,4,3.2.2021,120.0252533
51,"['low', 4, 2, True]",TRUE,4,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.448491,1,120,4,3.2.2021,120.0252533
52,"['high', 8, 2, True]",TRUE,8,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.2343237,1,120,4,3.2.2021,120.0252533
53,"['low', 3, 2, True]",TRUE,3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,left,0.0989228,0,120,4,3.2.2021,120.0252533
54,"['high', 8, 2, True]",TRUE,8,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.802129,1,120,4,3.2.2021,120.0252533
55,"['low', 16, 2, True]",TRUE,16,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.0341746,1,120,4,3.2.2021,120.0252533
56,"['low', 64, 2, True]",TRUE,64,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.3174067,1,120,4,3.2.2021,120.0252533
57,"['low', 8, 2, True]",TRUE,8,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.8290935,1,120,4,3.2.2021,120.0252533
58,"['high', 4, 2, True]",TRUE,4,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.1587974,1,120,4,3.2.2021,120.0252533
59,"['low', 16, 2, True]",TRUE,16,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.6431678,1,120,4,3.2.2021,120.0252533
60,"['high', 2, 2, True]",TRUE,2,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.1379834,0,120,4,3.2.2021,120.0252533
61,"['high', 64, 2, True]",TRUE,64,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.4682456,1,120,4,3.2.2021,120.0252533
62,"['low', 32, 2, True]",TRUE,32,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.7951625,1,120,4,3.2.2021,120.0252533
63,"['low', 32, 2, True]",TRUE,32,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.5416714,1,120,4,3.2.2021,120.0252533
64,"['high', 16, 2, True]",TRUE,16,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.0341028,1,120,4,3.2.2021,120.0252533
65,"['low', 8, 2, True]",TRUE,8,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.0506821,1,120,4,3.2.2021,120.0252533
66,"['low', 3, 2, True]",TRUE,3,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.0713855,1,120,4,3.2.2021,120.0252533
67,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.3199443,0,120,4,3.2.2021,120.0252533
68,"['low', 1, 2, True]",TRUE,1,black,45,right,up,low,black_low_45_up,white_low_135_up,2,left,0.0934414,0,120,4,3.2.2021,120.0252533
69,"['high', 32, 2, True]",TRUE,32,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.8743256,1,120,4,3.2.2021,120.0252533
70,"['high', 3, 60, False]",FALSE,3,white,135,right,up,high,white_high_135_up,black_high_45_up,60,right,0.2531347,1,120,4,3.2.2021,120.0252533
71,"['high', 4, 2, True]",TRUE,4,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.0452952,1,120,4,3.2.2021,120.0252533
72,"['high', 1, 2, False]",FALSE,1,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,0.2964751,0,120,4,3.2.2021,120.0252533
73,"['high', 3, 2, True]",TRUE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.2413378,1,120,4,3.2.2021,120.0252533
74,"['high', 16, 2, True]",TRUE,16,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.2803534,1,120,4,3.2.2021,120.0252533
75,"['low', 4, 2, True]",TRUE,4,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.3769378,1,120,4,3.2.2021,120.0252533
76,"['low', 16, 2, True]",TRUE,16,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.3530006,1,120,4,3.2.2021,120.0252533
