trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 32, 2, True]",TRUE,32,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.6400728,1,120,8,3.2.2021,119.9965921
1,"['low', 32, 2, True]",TRUE,32,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2820434,1,120,8,3.2.2021,119.9965921
2,"['low', 8, 2, True]",TRUE,8,black,45,right,down,low,black_low_45_down,white_low_135_down,2,left,0.5455648,0,120,8,3.2.2021,119.9965921
3,"['low', 2, 2, True]",TRUE,2,black,45,right,up,low,black_low_45_up,white_low_135_up,2,left,0.3818195,0,120,8,3.2.2021,119.9965921
4,"['low', 4, 2, True]",TRUE,4,white,45,left,down,low,white_low_45_down,black_low_135_down,2,right,0.6291733,0,120,8,3.2.2021,119.9965921
5,"['low', 1, 2, True]",TRUE,1,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.0375343,1,120,8,3.2.2021,119.9965921
6,"['high', 4, 2, True]",TRUE,4,white,45,left,down,high,white_high_45_down,black_high_135_down,2,right,0.4468071,0,120,8,3.2.2021,119.9965921
7,"['high', 2, 2, True]",TRUE,2,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.2812046,1,120,8,3.2.2021,119.9965921
8,"['low', 8, 2, True]",TRUE,8,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,1.3062704,1,120,8,3.2.2021,119.9965921
9,"['high', 2, 2, True]",TRUE,2,white,45,left,down,high,white_high_45_down,black_high_135_down,2,right,0.5754737,0,120,8,3.2.2021,119.9965921
10,"['high', 64, 2, True]",TRUE,64,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.947755,1,120,8,3.2.2021,119.9965921
11,"['high', 32, 2, True]",TRUE,32,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.4875585,1,120,8,3.2.2021,119.9965921
12,"['low', 3, 2, True]",TRUE,3,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.3703738,1,120,8,3.2.2021,119.9965921
