trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 1, 'high']",1,white,0.532763112,135,right,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,white_med_135_up,black_med_45_up,12,1.645238455,0.2467167,left,0.1515992,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
1,"['high', 2, 'low']",2,white,0.817307984,45,left,up,high,low,white_low_135-black_low_135-white_low_45-black_low_45,white_high_45_up,black_high_135_up,8,1.239768997,0.2502974,left,0.2029514,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
2,"['high', 1, 'low']",1,black,0.632262888,45,right,down,high,low,white_low_135-black_low_45-white_low_45-black_low_135,black_high_45_down,white_high_135_down,12,1.385478151,0.2485462,left,0.9563622,0,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
3,"['med', 1, 'low']",1,black,0.16829073,135,left,up,med,low,white_low_135-black_low_135-black_low_45-white_low_45,black_med_135_up,white_med_45_up,12,1.804844574,0.24854,left,0.4124574,1,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
4,"['high', 1, 'high']",1,white,0.068715828,135,right,down,high,high,white_high_135-black_high_45-white_high_135-black_high_135,white_high_135_down,black_high_45_down,12,1.130748771,0.2485522,right,0.0890988,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
5,"['low', 3, 'low']",3,white,0.402561632,45,left,up,low,low,black_low_45-black_low_135-white_low_45-white_low_135,white_low_45_up,black_low_135_up,3,1.364720018,0.2488479,left,0.1098329,1,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
6,"['high', 2, 'low']",2,black,0.617617115,135,left,up,high,low,white_low_45-white_low_135-black_low_45-black_low_135,black_high_135_up,white_high_45_up,7,1.478471083,0.2468383,right,0.1478923,0,7,1,1,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
7,"['low', 1, 'low']",1,white,0.843202761,135,right,up,low,low,white_low_135-white_low_45-black_low_45-black_low_135,white_low_135_up,black_low_45_up,8,1.611484034,0.248553,right,0.2165499,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
8,"['low', 3, 'high']",3,black,0.116729057,135,left,up,low,high,white_high_135-white_high_135-black_high_135-black_high_45,black_low_135_up,white_low_45_up,3,1.267947742,0.2485462,left,0.2640494,1,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
9,"['low', 3, 'high']",3,white,0.129768311,135,right,up,low,high,white_high_135-black_high_45-black_high_135-white_high_135,white_low_135_up,black_low_45_up,2,1.32130364,0.2485437,left,0.0147791,0,2,1,1,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
10,"['low', 3, 'low']",3,white,0.645523677,45,left,down,low,low,white_low_135-white_low_45-black_low_135-black_low_45,white_low_45_down,black_low_135_down,2,1.765522022,0.24855,right,0.4709702,0,2,1,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
11,"['low', 3, 'high']",3,black,0.435570216,135,left,up,low,high,black_high_135-white_high_135-black_high_45-white_high_135,black_low_135_up,white_low_45_up,5,1.126170719,0.2485565,right,0.2872855,0,5,2,0,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
12,"['med', 1, 'low']",1,white,0.880211681,45,left,down,med,low,black_low_45-white_low_45-white_low_135-black_low_135,white_med_45_down,black_med_135_down,11,1.979348507,0.248545,left,0.0686246,1,11,1,1,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
13,"['low', 1, 'high']",1,black,0.859388244,135,left,up,low,high,black_high_135-black_high_45-white_high_135-white_high_135,black_low_135_up,white_low_45_up,8,1.060276788,0.2450379,right,0.2030834,0,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
14,"['high', 3, 'low']",3,black,0.645324402,135,left,down,high,low,white_low_45-black_low_45-white_low_135-black_low_135,black_high_135_down,white_high_45_down,8,1.872426539,0.248541,right,0.3377981,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
15,"['med', 3, 'high']",3,black,0.918114377,135,left,down,med,high,black_high_45-white_high_135-black_high_135-white_high_135,black_med_135_down,white_med_45_down,8,1.078228433,0.2485492,right,0.2284076,0,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
16,"['low', 2, 'low']",2,white,0.928969983,135,right,up,low,low,black_low_45-white_low_135-white_low_45-black_low_135,white_low_135_up,black_low_45_up,3,1.187663419,0.2485425,right,1.0288013,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
17,"['low', 3, 'high']",3,white,0.526175744,135,right,down,low,high,white_high_135-black_high_45-black_high_135-white_high_135,white_low_135_down,black_low_45_down,8,1.752438095,0.2485597,right,1.5529944,1,8,3,0,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
18,"['med', 1, 'low']",1,white,0.009405727,135,right,down,med,low,white_low_45-black_low_45-black_low_135-white_low_135,white_med_135_down,black_med_45_down,10,1.189845494,0.2467531,right,0.3811549,1,10,2,1,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
19,"['med', 3, 'high']",3,black,0.967124206,45,right,down,med,high,white_high_135-black_high_135-black_high_45-white_high_135,black_med_45_down,white_med_135_down,11,1.0960155,0.2502957,right,0.2489396,1,11,1,0,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,2,3.2.2021,164.9519907
