trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 2, 'low']",2,white,0.628801384,45,left,down,low,low,black_low_45-white_low_135-black_low_135-white_low_45,white_low_45_down,black_low_135_down,3,1.46203282,0.2466924,right,0.5704988,0,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
1,"['low', 3, 'high']",3,black,0.624484089,45,right,down,low,high,white_high_135-white_high_135-black_high_135-black_high_45,black_low_45_down,white_low_135_down,3,1.014678833,0.248548,left,0.0724877,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
2,"['low', 1, 'low']",1,white,0.567021149,45,left,down,low,low,white_low_135-white_low_45-black_low_45-black_low_135,white_low_45_down,black_low_135_down,8,1.823016023,0.2469681,left,0.6353325,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
3,"['low', 2, 'high']",2,black,0.224589249,45,right,up,low,high,black_high_45-white_high_135-white_high_135-black_high_135,black_low_45_up,white_low_135_up,3,1.397091214,0.2488596,right,0.4086607,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
4,"['med', 1, 'high']",1,black,0.825555512,45,right,down,med,high,black_high_135-white_high_135-white_high_135-black_high_45,black_med_45_down,white_med_135_down,12,1.57410338,0.2449741,left,0.5396428,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
5,"['low', 2, 'high']",2,white,0.192217176,135,right,down,low,high,black_high_135-white_high_135-black_high_45-white_high_135,white_low_135_down,black_low_45_down,2,1.562846942,0.2485415,right,0.1049833,1,2,1,1,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
6,"['high', 1, 'high']",1,black,0.095045177,135,left,up,high,high,black_high_45-black_high_135-white_high_135-white_high_135,black_high_135_up,white_high_45_up,12,1.104129163,0.2485111,left,0.7057194,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
7,"['high', 1, 'high']",1,black,0.479393359,45,right,up,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_45_up,white_high_135_up,11,1.8899911,0.2485444,left,0.4196486,0,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
8,"['med', 1, 'high']",1,white,0.603531186,135,right,up,med,high,white_high_135-black_high_45-black_high_135-white_high_135,white_med_135_up,black_med_45_up,15,1.642959271,0.2485204,right,0.4069046,1,15,1,0,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
9,"['high', 3, 'high']",3,white,0.986190581,135,right,up,high,high,white_high_135-white_high_135-black_high_45-black_high_135,white_high_135_up,black_high_45_up,8,1.639973971,0.2485402,right,1.0502162,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,9,3.2.2021,164.8965027
