trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_start,mask_end,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
1082,"['high', 1, 'low']",1,black,0.503190667,135,left,up,high,low,white_low_135-white_low_45-black_low_135-black_low_45,black_high_135_up,white_high_45_up,16,1.969438837,4306.33242,4306.579194,0.2467741,left,0.2218991,1,16,68,1,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,28,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1083,"['high', 1, 'low']",1,white,0.35210074,135,right,up,high,low,black_low_135-white_low_45-white_low_135-black_low_45,white_high_135_up,black_high_45_up,15,1.048912451,4308.549425,4308.797975,0.2485496,right,0.1423741,1,15,69,1,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,28,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1084,"['high', 3, 'high']",3,black,0.334519319,135,left,down,high,high,white_high_135-black_high_135-black_high_45-white_high_135,black_high_135_down,white_high_45_down,11,1.994975072,4311.883643,4312.133928,0.2502852,right,0.1931761,0,11,57,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,18,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1085,"['med', 1, 'low']",1,white,0.256197851,45,left,down,med,low,black_low_135-black_low_45-white_low_45-white_low_135,white_med_45_down,black_med_135_down,12,1.654947546,4314.641938,4314.892244,0.2503061,left,0.1393433,1,12,60,0,1,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,TRUE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1086,"['med', 2, 'low']",2,white,0.0703302,135,right,up,med,low,black_low_45-black_low_135-white_low_135-white_low_45,white_med_135_up,black_med_45_up,12,1.801745584,4317.656621,4317.903377,0.2467552,right,0.0713424,1,12,56,1,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,20,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1087,"['med', 2, 'high']",2,white,0.854807501,45,left,up,med,high,black_high_45-white_high_135-white_high_135-black_high_135,white_med_45_up,black_med_135_up,12,1.934246003,4320.722308,4320.970864,0.2485554,left,0.2443244,1,12,52,1,1,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,18,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1088,"['low', 3, 'low']",3,black,0.101027661,135,left,up,low,low,black_low_135-white_low_45-white_low_135-black_low_45,black_low_135_up,white_low_45_up,4,1.847789862,4323.747348,4323.996194,0.2488465,left,0.0644926,1,4,59,1,1,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1089,"['high', 1, 'high']",1,black,0.347897385,45,right,down,high,high,white_high_135-black_high_45-black_high_135-white_high_135,black_high_45_down,white_high_135_down,13,1.568857931,4326.307727,4326.554408,0.246681,left,0.0552789,0,13,59,1,1,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1090,"['low', 3, 'high']",3,black,0.352069539,45,right,down,low,high,black_high_45-white_high_135-white_high_135-black_high_135,black_low_45_down,white_low_135_down,4,1.236460448,4328.536478,4328.785027,0.2485482,right,0.055554,1,4,57,0,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,21,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1091,"['high', 2, 'low']",2,black,0.762038081,135,left,up,high,low,white_low_135-black_low_135-black_low_45-white_low_45,black_high_135_up,white_high_45_up,7,1.115149173,4330.652189,4330.900739,0.2485498,left,0.0099076,1,7,61,1,1,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,20,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1092,"['high', 3, 'high']",3,white,0.175082772,45,left,up,high,high,black_high_45-black_high_135-white_high_135-white_high_135,white_high_45_up,black_high_135_up,14,1.517292244,4333.477179,4333.725715,0.2485361,left,0.1175302,1,14,58,0,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,19,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1093,"['med', 3, 'high']",3,black,0.42910734,45,right,down,med,high,black_high_45-black_high_135-white_high_135-white_high_135,black_med_45_down,white_med_135_down,4,1.208682367,4335.738378,4335.986915,0.248537,left,0.0800302,0,4,68,1,1,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,TRUE,22,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1094,"['high', 3, 'high']",3,black,0.692184105,45,right,up,high,high,black_high_135-black_high_45-white_high_135-white_high_135,black_high_45_up,white_high_135_up,13,1.702297399,4338.781595,4339.030137,0.2485421,right,0.1276137,1,13,59,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,19,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1095,"['high', 3, 'low']",3,black,0.503374314,135,left,up,high,low,white_low_135-black_low_45-white_low_45-black_low_135,black_high_135_up,white_high_45_up,5,1.037993329,4340.921546,4341.170376,0.24883,right,0.0926563,0,5,55,1,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,21,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1096,"['high', 3, 'high']",3,black,0.860961613,135,left,up,high,high,black_high_135-black_high_45-white_high_135-white_high_135,black_high_135_up,white_high_45_up,12,1.530893209,4343.771087,4344.019587,0.2484998,left,0.1340067,1,12,60,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,19,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1097,"['low', 3, 'high']",3,black,0.497977074,135,left,up,low,high,black_high_135-white_high_135-black_high_45-white_high_135,black_low_135_up,white_low_45_up,3,1.932214778,4346.737307,4346.984029,0.2467223,left,0.1233707,1,3,58,1,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,21,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1098,"['low', 2, 'low']",2,white,0.175137573,135,right,down,low,low,black_low_45-white_low_45-white_low_135-black_low_135,white_low_135_down,black_low_45_down,5,1.548915784,4349.305577,4349.554118,0.2485412,right,0.0568961,1,5,55,1,1,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1099,"['low', 2, 'high']",2,black,0.322921294,45,right,down,low,high,black_high_45-white_high_135-white_high_135-black_high_135,black_low_45_down,white_low_135_down,4,1.057827512,4351.293969,4351.542517,0.2485481,left,0.0750759,0,4,63,1,1,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,27,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1100,"['low', 2, 'high']",2,white,0.553675212,45,left,up,low,high,black_high_45-white_high_135-black_high_135-white_high_135,white_low_45_up,black_low_135_up,7,1.382406409,4353.700942,4353.949494,0.2485514,left,0.2610262,1,7,64,0,1,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,28,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1101,"['low', 2, 'low']",2,white,0.466678208,135,right,up,low,low,white_low_45-black_low_45-white_low_135-black_low_135,white_low_135_up,black_low_45_up,4,1.573882546,4356.410462,4356.659004,0.2485417,right,0.0626899,1,4,56,1,1,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1102,"['med', 3, 'high']",3,white,0.324463609,45,left,down,med,high,white_high_135-black_high_45-black_high_135-white_high_135,white_med_45_down,black_med_135_down,7,1.519172002,4359.035389,4359.283939,0.24855,left,0.045812,1,7,69,0,1,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,TRUE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1103,"['high', 1, 'low']",1,white,0.530191317,45,left,down,high,low,black_low_135-white_low_45-white_low_135-black_low_45,white_high_45_down,black_high_135_down,14,1.40542452,4361.418135,4361.666691,0.2485563,left,0.0779035,1,14,70,1,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,28,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1104,"['high', 3, 'high']",3,white,0.718270199,45,left,up,high,high,white_high_135-black_high_135-white_high_135-black_high_45,white_high_45_up,black_high_135_up,11,1.210221348,4363.897282,4364.145822,0.2485398,left,0.3208437,1,11,61,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,19,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1105,"['med', 2, 'low']",2,black,0.977620499,135,left,up,med,low,black_low_135-white_low_45-white_low_135-black_low_45,black_med_135_up,white_med_45_up,11,1.306299957,4366.577072,4366.825616,0.248544,left,0.0283387,1,11,57,1,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,20,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1106,"['low', 2, 'high']",2,black,0.882737761,45,right,up,low,high,black_high_135-black_high_45-white_high_135-white_high_135,black_low_45_up,white_low_135_up,6,1.379314404,4368.910715,4369.159262,0.2485471,right,0.0916166,1,6,65,1,1,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,28,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1107,"['med', 2, 'low']",2,black,0.935066232,135,left,down,med,low,black_low_45-white_low_135-white_low_45-black_low_135,black_med_135_down,white_med_45_down,10,1.118127466,4371.141599,4371.390445,0.2488456,left,0.0920694,1,10,58,1,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,20,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1108,"['low', 1, 'high']",1,black,0.588920734,45,right,down,low,high,black_high_135-white_high_135-black_high_45-white_high_135,black_low_45_down,white_low_135_down,10,1.321544671,4373.44524,4373.693781,0.2485414,left,0.08267,0,10,62,1,1,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
