trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_start,mask_end,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 3, 'low']",3,black,0.316791046,45,right,up,low,low,white_low_45-black_low_45-white_low_135-black_low_135,black_low_45_up,white_low_135_up,3,1.115030301,1106.799188,1107.047731,0.2485429,left,0.3722052,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1,"['high', 3, 'high']",3,black,0.329940023,45,right,up,high,high,white_high_135-black_high_135-white_high_135-black_high_45,black_high_45_up,white_high_135_up,8,1.524629868,1109.77719,1110.025745,0.2485551,left,0.4727236,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
2,"['high', 3, 'high']",3,white,0.389085407,45,left,up,high,high,white_high_135-black_high_135-black_high_45-white_high_135,white_high_45_up,black_high_135_up,11,1.032485057,1112.481218,1112.729759,0.2485412,left,0.3980096,1,11,1,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
3,"['high', 3, 'high']",3,white,0.943263956,135,right,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,white_high_135_down,black_high_45_down,10,1.948687559,1115.991199,1116.239749,0.2485498,right,0.3540479,1,10,2,1,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
4,"['high', 1, 'low']",1,white,0.701278138,135,right,up,high,low,white_low_45-black_low_135-white_low_135-black_low_45,white_high_135_up,black_high_45_up,12,1.678455821,1118.932848,1119.179633,0.2467847,right,0.3067124,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
5,"['high', 2, 'high']",2,black,0.710311812,135,left,down,high,high,white_high_135-white_high_135-black_high_135-black_high_45,black_high_135_down,white_high_45_down,8,1.956481435,1122.162259,1122.410785,0.2485258,right,0.3113885,0,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
6,"['high', 1, 'low']",1,black,0.081438184,135,left,down,high,low,white_low_135-white_low_45-black_low_45-black_low_135,black_high_135_down,white_high_45_down,11,1.882492677,1125.253964,1125.502508,0.248544,left,0.5348404,1,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
7,"['low', 1, 'low']",1,white,0.422687113,135,right,up,low,low,white_low_45-black_low_45-white_low_135-black_low_135,white_low_135_up,black_low_45_up,8,1.542523592,1128.20231,1128.448998,0.2466877,right,1.1350993,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
8,"['med', 1, 'low']",1,black,0.220714615,45,right,up,med,low,white_low_135-black_low_135-black_low_45-white_low_45,black_med_45_up,white_med_135_up,12,1.139048293,1131.382842,1131.631385,0.2485427,left,0.0736337,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
9,"['high', 2, 'high']",2,black,0.371978433,45,right,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_45_down,white_high_135_down,11,1.518189931,1134.019893,1134.270197,0.2503042,right,0.4229817,1,11,1,0,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
10,"['low', 3, 'high']",3,black,0.626265476,45,right,up,low,high,black_high_135-white_high_135-white_high_135-black_high_45,black_low_45_up,white_low_135_up,3,1.829086468,1137.166179,1137.414721,0.2485422,left,0.2177452,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
11,"['high', 1, 'high']",1,black,0.578900465,45,right,down,high,high,white_high_135-black_high_135-black_high_45-white_high_135,black_high_45_down,white_high_135_down,12,1.248940312,1139.548615,1139.797161,0.2485467,right,0.2318809,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
12,"['low', 3, 'low']",3,white,0.878496888,45,left,up,low,low,white_low_45-black_low_135-black_low_45-white_low_135,white_low_45_up,black_low_135_up,6,1.75558638,1142.543345,1142.791885,0.2485403,left,0.1881209,1,6,1,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
13,"['med', 1, 'high']",1,black,0.047390664,45,right,down,med,high,white_high_135-white_high_135-black_high_45-black_high_135,black_med_45_down,white_med_135_down,12,1.28552874,1144.938214,1145.186761,0.2485475,left,0.197025,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
14,"['high', 3, 'high']",3,white,0.963196603,135,right,up,high,high,white_high_135-white_high_135-black_high_45-black_high_135,white_high_135_up,black_high_45_up,9,1.257548278,1147.50825,1147.756817,0.2485663,left,0.8173236,0,9,3,1,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
15,"['low', 3, 'high']",3,black,0.869081104,45,right,up,low,high,black_high_135-white_high_135-white_high_135-black_high_45,black_low_45_up,white_low_135_up,6,1.119501622,1150.448436,1150.696983,0.2485478,left,0.1743333,0,6,1,0,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
16,"['high', 1, 'high']",1,white,0.306547314,45,left,up,high,high,black_high_135-white_high_135-black_high_45-white_high_135,white_high_45_up,black_high_135_up,11,1.541336642,1153.061247,1153.309784,0.2485376,left,0.1702003,1,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
17,"['high', 3, 'high']",3,black,0.893631111,135,left,up,high,high,black_high_45-white_high_135-black_high_135-white_high_135,black_high_135_up,white_high_45_up,12,1.065732248,1155.5225,1155.771342,0.2488421,right,0.3562339,0,12,4,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
18,"['high', 3, 'high']",3,black,0.721557612,45,right,down,high,high,white_high_135-black_high_135-white_high_135-black_high_45,black_high_45_down,white_high_135_down,15,1.006961146,1158.226534,1158.475081,0.2485467,left,0.0891048,0,15,5,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
19,"['low', 2, 'high']",2,white,0.830847676,135,right,down,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_135_down,black_low_45_down,3,1.655240072,1160.820865,1161.069407,0.2485424,right,0.2469282,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
20,"['med', 1, 'low']",1,black,0.766437025,45,right,down,med,low,white_low_45-black_low_135-white_low_135-black_low_45,black_med_45_down,white_med_135_down,15,1.93047631,1163.942893,1164.191436,0.2485436,left,0.065422,0,15,1,0,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
21,"['low', 3, 'high']",3,white,0.458411901,45,left,down,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_45_down,black_low_135_down,9,1.165155399,1166.288961,1166.537505,0.2485442,left,1.1741671,1,9,2,0,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
22,"['high', 3, 'low']",3,white,0.642054915,135,right,down,high,low,white_low_135-black_low_45-black_low_135-white_low_45,white_high_135_down,black_high_45_down,8,1.532592317,1170.079623,1170.326372,0.2467492,right,0.2367694,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
23,"['high', 2, 'high']",2,black,0.91980329,45,right,up,high,high,white_high_135-white_high_135-black_high_135-black_high_45,black_high_45_up,white_high_135_up,10,1.98372072,1173.321117,1173.569653,0.2485365,left,0.1291025,0,10,2,1,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
24,"['low', 1, 'high']",1,black,0.300626445,135,left,up,low,high,black_high_135-white_high_135-black_high_45-white_high_135,black_low_135_up,white_low_45_up,8,1.97097413,1176.293697,1176.540433,0.2467357,left,0.1855635,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
25,"['high', 1, 'low']",1,white,0.069850423,45,left,down,high,low,white_low_45-black_low_45-white_low_135-black_low_135,white_high_45_down,black_high_135_down,10,1.435426445,1178.795278,1179.043824,0.2485455,left,0.2724746,1,10,2,1,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
26,"['med', 1, 'low']",1,black,0.261393461,45,right,down,med,low,black_low_45-white_low_135-white_low_45-black_low_135,black_med_45_down,white_med_135_down,18,1.866015772,1181.925452,1182.172184,0.2467323,right,0.2803609,1,18,2,0,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
27,"['med', 1, 'high']",1,white,0.098448075,135,right,up,med,high,black_high_45-white_high_135-white_high_135-black_high_135,white_med_135_up,black_med_45_up,15,1.418838039,1184.572542,1184.821087,0.2485446,right,0.1491456,1,15,1,0,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
28,"['high', 1, 'low']",1,black,0.661823165,45,right,down,high,low,black_low_135-white_low_45-white_low_135-black_low_45,black_high_45_down,white_high_135_down,9,1.050172699,1186.645812,1186.894351,0.2485384,left,0.22639,0,9,3,1,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
29,"['med', 1, 'low']",1,white,0.543625218,135,right,up,med,low,white_low_45-black_low_135-white_low_135-black_low_45,white_med_135_up,black_med_45_up,17,1.195015345,1189.040373,1189.288916,0.2485423,right,0.0481543,1,17,3,1,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
30,"['med', 1, 'high']",1,white,0.36088092,45,left,up,med,high,black_high_135-black_high_45-white_high_135-white_high_135,white_med_45_up,black_med_135_up,14,1.904903579,1191.920215,1192.168749,0.2485332,left,0.0343966,1,14,2,1,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
31,"['high', 1, 'low']",1,white,0.657696016,135,right,up,high,low,white_low_45-white_low_135-black_low_45-black_low_135,white_high_135_up,black_high_45_up,12,1.389223891,1194.253869,1194.50241,0.2485406,right,0.0532816,1,12,4,0,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
32,"['low', 1, 'high']",1,white,0.133705123,45,left,up,low,high,white_high_135-black_high_45-white_high_135-black_high_135,white_low_45_up,black_low_135_up,7,1.28957913,1196.442322,1196.69086,0.2485378,right,0.4221701,0,7,1,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
33,"['med', 2, 'high']",2,white,0.226917513,45,left,down,med,high,black_high_135-white_high_135-black_high_45-white_high_135,white_med_45_down,black_med_135_down,8,1.547963298,1199.382761,1199.631317,0.248556,left,0.1271606,1,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
34,"['low', 3, 'high']",3,white,0.294807126,135,right,up,low,high,black_high_45-white_high_135-white_high_135-black_high_135,white_low_135_up,black_low_45_up,8,1.979345692,1202.571197,1202.819739,0.2485426,right,0.0506484,1,8,3,1,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
35,"['med', 1, 'high']",1,white,0.9857396,45,left,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,white_med_45_up,black_med_135_up,13,1.471741561,1205.014264,1205.262811,0.2485475,left,0.1509516,1,13,3,1,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
36,"['med', 1, 'low']",1,white,0.272081961,135,right,up,med,low,black_low_135-black_low_45-white_low_45-white_low_135,white_med_135_up,black_med_45_up,16,1.16269179,1207.287593,1207.536434,0.2488415,right,0.098868,1,16,4,1,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
37,"['low', 1, 'high']",1,black,0.02498677,135,left,down,low,high,black_high_45-black_high_135-white_high_135-white_high_135,black_low_135_down,white_low_45_down,10,1.632975335,1209.906454,1210.155002,0.2485473,right,0.1032329,0,10,2,0,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
38,"['low', 1, 'high']",1,white,0.260016898,45,left,down,low,high,black_high_45-white_high_135-black_high_135-white_high_135,white_low_45_down,black_low_135_down,13,1.55234574,1212.48896,1212.739277,0.2503169,left,0.132575,1,13,3,0,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
39,"['low', 3, 'low']",3,white,0.817671566,45,left,down,low,low,black_low_45-black_low_135-white_low_135-white_low_45,white_low_45_down,black_low_135_down,5,1.514079962,1215.101756,1215.350303,0.2485472,left,0.0371621,1,5,2,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
40,"['low', 1, 'low']",1,black,0.483182205,45,right,down,low,low,black_low_45-white_low_135-white_low_45-black_low_135,black_low_45_down,white_low_135_down,7,1.141029228,1217.132597,1217.381137,0.24854,right,0.1944233,1,7,1,1,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
41,"['high', 3, 'high']",3,black,0.339199597,45,right,up,high,high,white_high_135-white_high_135-black_high_45-black_high_135,black_high_45_up,white_high_135_up,18,1.304655222,1220.079128,1220.327663,0.2485348,left,0.273337,0,18,6,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
42,"['high', 1, 'high']",1,white,0.596285374,135,right,down,high,high,black_high_135-white_high_135-black_high_45-white_high_135,white_high_135_down,black_high_45_down,10,1.20252133,1222.443073,1222.691615,0.2485414,right,0.2691159,1,10,2,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
43,"['med', 3, 'high']",3,black,0.551346598,45,right,down,med,high,white_high_135-white_high_135-black_high_45-black_high_135,black_med_45_down,white_med_135_down,8,1.139251812,1224.934641,1225.183181,0.2485401,left,0.6418659,0,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
44,"['high', 1, 'low']",1,black,0.528324206,45,right,up,high,low,white_low_135-black_low_45-black_low_135-white_low_45,black_high_45_up,white_high_135_up,11,1.670191957,1228.147606,1228.396144,0.2485379,left,0.2370857,0,11,5,1,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
45,"['high', 2, 'high']",2,white,0.65478924,45,left,up,high,high,black_high_45-white_high_135-white_high_135-black_high_135,white_high_45_up,black_high_135_up,13,1.019208938,1230.499724,1230.748269,0.2485448,left,0.1322506,1,13,3,0,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
46,"['high', 2, 'low']",2,white,0.502205387,45,left,up,high,low,white_low_45-black_low_135-black_low_45-white_low_135,white_high_45_up,black_high_135_up,8,1.064941942,1232.663944,1232.914248,0.2503042,left,0.4153819,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
47,"['low', 3, 'high']",3,white,0.307326798,135,right,up,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_135_up,black_low_45_up,7,1.704001946,1235.830165,1236.076938,0.2467727,right,0.2477588,1,7,4,1,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
48,"['med', 2, 'low']",2,black,0.464404489,135,left,down,med,low,white_low_45-white_low_135-black_low_135-black_low_45,black_med_135_down,white_med_45_down,8,1.612334078,1238.659448,1238.90799,0.2485424,left,0.2133322,1,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
49,"['high', 1, 'low']",1,white,0.210343722,135,right,up,high,low,black_low_45-white_low_45-white_low_135-black_low_135,white_high_135_up,black_high_45_up,14,1.986196696,1241.793607,1242.042144,0.2485379,right,0.0713607,1,14,6,0,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,4,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
50,"['low', 1, 'high']",1,black,0.832438613,45,right,down,low,high,white_high_135-white_high_135-black_high_135-black_high_45,black_low_45_down,white_low_135_down,12,1.309913321,1244.091182,1244.339724,0.2485415,left,0.1926615,0,12,4,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
51,"['low', 1, 'high']",1,white,0.095267558,45,left,down,low,high,white_high_135-white_high_135-black_high_45-black_high_135,white_low_45_down,black_low_135_down,15,1.59748901,1246.831574,1247.080125,0.2485512,left,0.1891109,1,15,5,0,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,4,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
52,"['med', 3, 'low']",3,black,0.488334536,135,left,down,med,low,black_low_135-white_low_45-black_low_45-white_low_135,black_med_135_down,white_med_45_down,8,1.700652093,1249.801766,1250.050607,0.2488414,left,0.1675316,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
53,"['high', 1, 'high']",1,black,0.766731524,135,left,down,high,high,black_high_45-black_high_135-white_high_135-white_high_135,black_high_135_down,white_high_45_down,9,1.181655304,1252.020525,1252.269072,0.2485471,right,0.2116394,0,9,3,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
54,"['low', 3, 'high']",3,black,0.93394826,135,left,down,low,high,white_high_135-black_high_45-black_high_135-white_high_135,black_low_135_down,white_low_45_down,6,1.00670832,1254.251425,1254.500267,0.2488419,left,0.0675682,1,6,5,1,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
55,"['med', 3, 'high']",3,black,0.11579294,135,left,up,med,high,white_high_135-white_high_135-black_high_45-black_high_135,black_med_135_up,white_med_45_up,11,1.207566627,1256.719026,1256.967568,0.248542,right,0.1610975,0,11,1,0,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
56,"['high', 3, 'high']",3,white,0.362184703,45,left,up,high,high,black_high_45-white_high_135-white_high_135-black_high_135,white_high_45_up,black_high_135_up,21,1.081947073,1259.525806,1259.774359,0.248553,left,0.2100273,1,21,7,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
57,"['med', 1, 'low']",1,black,0.669146051,135,left,up,med,low,white_low_45-white_low_135-black_low_45-black_low_135,black_med_135_up,white_med_45_up,15,1.849069634,1262.532376,1262.780917,0.2485412,right,0.3012937,0,15,5,1,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
58,"['med', 1, 'low']",1,black,0.472602276,135,left,down,med,low,black_low_135-white_low_45-black_low_45-white_low_135,black_med_135_down,white_med_45_down,18,1.550222392,1265.36976,1265.618306,0.2485464,left,0.3412704,1,18,6,0,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
59,"['low', 1, 'high']",1,white,0.408063679,135,right,down,low,high,white_high_135-black_high_135-white_high_135-black_high_45,white_low_135_down,black_low_45_down,14,1.021180078,1267.667059,1267.915598,0.2485391,right,0.2600519,1,14,6,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,4,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
60,"['med', 3, 'low']",3,white,0.684186661,45,left,up,med,low,white_low_135-black_low_135-white_low_45-black_low_45,white_med_45_up,black_med_135_up,7,1.121375464,1270.091929,1270.340472,0.2485429,left,0.2020172,1,7,1,1,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
61,"['low', 2, 'high']",2,black,0.261183745,45,right,up,low,high,white_high_135-black_high_135-white_high_135-black_high_45,black_low_45_up,white_low_135_up,2,1.340988713,1272.468357,1272.716859,0.2485029,left,0.1845902,0,2,1,1,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
62,"['high', 3, 'low']",3,black,0.209724859,135,left,down,high,low,white_low_135-white_low_45-black_low_45-black_low_135,black_high_135_down,white_high_45_down,7,1.341830129,1275.038681,1275.287225,0.2485449,right,0.5119883,0,7,1,1,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
63,"['med', 3, 'high']",3,black,0.500506404,135,left,down,med,high,white_high_135-black_high_45-black_high_135-white_high_135,black_med_135_down,white_med_45_down,14,1.073429843,1277.918232,1278.167073,0.2488418,left,0.5513442,1,14,2,0,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
64,"['high', 1, 'high']",1,black,0.828837637,45,right,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_45_down,white_high_135_down,12,1.497967557,1280.878712,1281.125412,0.2467002,left,0.2149074,0,12,4,0,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
65,"['low', 1, 'high']",1,white,0.192194642,45,left,down,low,high,black_high_45-white_high_135-white_high_135-black_high_135,white_low_45_down,black_low_135_down,13,1.233518716,1283.246909,1283.497249,0.2503405,left,0.2584894,1,13,7,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,4,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
66,"['low', 1, 'high']",1,white,0.055405408,45,left,up,low,high,black_high_135-white_high_135-black_high_45-white_high_135,white_low_45_up,black_low_135_up,12,1.800647043,1286.211307,1286.459847,0.24854,left,0.1924013,1,12,8,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,4,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
67,"['low', 3, 'low']",3,white,0.65253777,45,left,down,low,low,white_low_45-black_low_135-white_low_135-black_low_45,white_low_45_down,black_low_135_down,4,1.871582803,1289.206037,1289.45488,0.2488436,left,0.1035301,1,4,3,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
68,"['high', 1, 'high']",1,black,0.576398832,45,right,down,high,high,white_high_135-black_high_45-black_high_135-white_high_135,black_high_45_down,white_high_135_down,15,1.143174765,1291.406895,1291.65544,0.2485443,left,0.2505892,0,15,5,0,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
69,"['low', 2, 'high']",2,white,0.162478819,135,right,down,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_135_down,black_low_45_down,5,1.381581766,1293.934558,1294.184883,0.2503249,right,0.1660015,1,5,2,0,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
