trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 3, 'low']",3,black,0.93661619,135,left,down,high,low,black_low_135-black_low_45-white_low_45-white_low_135,black_high_135_down,white_high_45_down,8,1.877381535,0.2485395,right,0.5814802,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
1,"['low', 1, 'low']",1,black,0.375516597,135,left,down,low,low,white_low_135-black_low_135-black_low_45-white_low_45,black_low_135_down,white_low_45_down,8,1.691722127,0.2485377,right,0.1281125,0,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
2,"['high', 3, 'high']",3,black,0.457219186,135,left,down,high,high,black_high_135-black_high_45-white_high_135-white_high_135,black_high_135_down,white_high_45_down,8,1.187882137,0.2485498,right,0.4180889,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
3,"['high', 3, 'high']",3,black,0.661239162,135,left,down,high,high,white_high_135-black_high_45-white_high_135-black_high_135,black_high_135_down,white_high_45_down,11,1.005713116,0.2485438,left,0.396783,1,11,1,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
4,"['low', 1, 'low']",1,black,0.221519385,135,left,up,low,low,white_low_45-black_low_45-black_low_135-white_low_135,black_low_135_up,white_low_45_up,11,1.398566385,0.2485457,right,0.1264676,0,11,1,0,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
5,"['med', 3, 'low']",3,white,0.482684291,45,left,up,med,low,black_low_45-white_low_45-white_low_135-black_low_135,white_med_45_up,black_med_135_up,8,1.904699034,0.2485405,left,0.0478723,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
6,"['high', 1, 'low']",1,white,0.083227453,135,right,up,high,low,white_low_45-black_low_45-white_low_135-black_low_135,white_high_135_up,black_high_45_up,12,1.249766363,0.2485462,right,0.0153958,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
7,"['med', 3, 'high']",3,black,0.519024959,45,right,up,med,high,white_high_135-black_high_135-black_high_45-white_high_135,black_med_45_up,white_med_135_up,8,1.198625005,0.2503056,left,0.1812275,0,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
8,"['med', 1, 'high']",1,black,0.505906348,45,right,down,med,high,white_high_135-black_high_135-black_high_45-white_high_135,black_med_45_down,white_med_135_down,12,1.944640535,0.2485449,left,0.3078432,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
9,"['low', 1, 'low']",1,black,0.765931787,135,left,down,low,low,black_low_135-white_low_135-black_low_45-white_low_45,black_low_135_down,white_low_45_down,14,1.741527098,0.248833,right,0.0285185,0,14,2,0,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,3,3.2.2021,164.9658686
