trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 1, 'low']",1,white,0.733226751,45,left,up,med,low,black_low_135-white_low_45-white_low_135-black_low_45,white_med_45_up,black_med_135_up,12,1.505198307,0.250018,left,0.206062,1,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
1,"['high', 3, 'low']",3,white,0.296272118,45,left,down,high,low,black_low_135-black_low_45-white_low_45-white_low_135,white_high_45_down,black_high_135_down,8,1.028249973,0.2485222,left,0.6129791,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
2,"['med', 2, 'high']",2,black,0.319955726,135,left,down,med,high,black_high_135-white_high_135-black_high_45-white_high_135,black_med_135_down,white_med_45_down,8,1.38476571,0.2485428,right,0.1137304,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
3,"['high', 1, 'low']",1,black,0.071481088,135,left,up,high,low,white_low_135-black_low_45-white_low_45-black_low_135,black_high_135_up,white_high_45_up,12,1.350625041,0.2485486,right,0.1976763,0,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
4,"['high', 2, 'high']",2,white,0.163119598,45,left,down,high,high,white_high_135-black_high_135-black_high_45-white_high_135,white_high_45_down,black_high_135_down,8,1.571262169,0.2485522,left,0.4662636,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
5,"['low', 1, 'low']",1,black,0.175579607,45,right,down,low,low,black_low_45-white_low_135-black_low_135-white_low_45,black_low_45_down,white_low_135_down,8,1.834889755,0.2467361,right,1.3047758,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
6,"['low', 3, 'high']",3,white,0.297051181,45,left,up,low,high,black_high_45-white_high_135-black_high_135-white_high_135,white_low_45_up,black_low_135_up,3,1.286549245,0.2467655,right,0.2575228,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
7,"['low', 1, 'high']",1,white,0.091394223,45,left,up,low,high,black_high_45-white_high_135-black_high_135-white_high_135,white_low_45_up,black_low_135_up,8,1.196495443,0.248552,left,0.1329372,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
8,"['high', 3, 'high']",3,white,0.706649525,135,right,up,high,high,black_high_45-white_high_135-white_high_135-black_high_135,white_high_135_up,black_high_45_up,8,1.357507834,0.2503018,right,0.8828034,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
9,"['low', 1, 'low']",1,black,0.574540406,45,right,up,low,low,black_low_135-white_low_45-black_low_45-white_low_135,black_low_45_up,white_low_135_up,7,1.613425336,0.2485495,right,0.2700312,1,7,1,1,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,6,3.2.2021,164.9574327
