trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
517,"['low', 1, 'low']",1,white,0.165250307,135,right,down,low,low,white_low_135-black_low_45-white_low_45-black_low_135,white_low_135_down,black_low_45_down,21,1.41209656,0.2502859,right,0.2504186,1,21,31,0,1,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,TRUE,16,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
518,"['low', 2, 'low']",2,black,0.497850536,135,left,up,low,low,white_low_45-white_low_135-black_low_135-black_low_45,black_low_135_up,white_low_45_up,21,1.86968034,0.2485524,left,0.1688201,1,21,34,1,1,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,11,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
519,"['high', 3, 'high']",3,black,0.754896561,45,right,down,high,high,black_high_45-black_high_135-white_high_135-white_high_135,black_high_45_down,white_high_135_down,8,1.666045043,0.248551,right,0.0381208,1,8,32,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,8,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
520,"['high', 2, 'low']",2,black,0.015910052,135,left,down,high,low,white_low_135-black_low_135-white_low_45-black_low_45,black_high_135_down,white_high_45_down,8,1.258203887,0.2467358,right,0.1765925,0,8,26,1,1,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,11,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
521,"['high', 1, 'high']",1,white,0.189720354,135,right,up,high,high,white_high_135-black_high_135-black_high_45-white_high_135,white_high_135_up,black_high_45_up,16,1.694642963,0.24855,right,0.0450513,1,16,24,1,1,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
522,"['med', 3, 'high']",3,black,0.260895568,135,left,down,med,high,black_high_135-white_high_135-black_high_45-white_high_135,black_med_135_down,white_med_45_down,8,1.449824863,0.2503107,left,0.0243589,1,8,32,1,1,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
523,"['med', 2, 'low']",2,black,0.738986704,45,right,up,med,low,white_low_135-white_low_45-black_low_135-black_low_45,black_med_45_up,white_med_135_up,10,1.580826417,0.250294,right,0.7844498,1,10,30,0,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,TRUE,16,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
524,"['med', 1, 'high']",1,black,0.011438398,135,left,up,med,high,black_high_135-white_high_135-black_high_45-white_high_135,black_med_135_up,white_med_45_up,23,1.308993698,0.2485378,left,0.3887899,1,23,29,1,1,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
525,"['low', 3, 'low']",3,white,0.56012707,45,left,down,low,low,black_low_45-white_low_45-black_low_135-white_low_135,white_low_45_down,black_low_135_down,5,1.510826796,0.2502923,left,0.1491647,1,5,26,1,1,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
526,"['med', 3, 'high']",3,black,0.840196553,135,left,down,med,high,white_high_135-black_high_45-white_high_135-black_high_135,black_med_135_down,white_med_45_down,7,1.910277793,0.2485318,left,0.6732282,1,7,33,1,1,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
