trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 3, 'high']",3,white,0.581515243,45,left,down,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_45_down,black_low_135_down,3,1.714085692,0.248537,right,0.4131659,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
1,"['high', 2, 'low']",2,black,0.012247098,45,right,down,high,low,white_low_135-white_low_45-black_low_45-black_low_135,black_high_45_down,white_high_135_down,8,1.617486614,0.2485413,left,0.1190828,0,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
2,"['high', 2, 'high']",2,white,0.494823424,45,left,down,high,high,white_high_135-white_high_135-black_high_135-black_high_45,white_high_45_down,black_high_135_down,8,1.044767481,0.2503441,left,0.0621037,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
3,"['high', 3, 'low']",3,black,0.102399581,45,right,up,high,low,black_low_135-white_low_135-white_low_45-black_low_45,black_high_45_up,white_high_135_up,8,1.809224739,0.2485318,left,0.0739651,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
4,"['high', 2, 'high']",2,white,0.429063258,45,left,up,high,high,black_high_45-white_high_135-black_high_135-white_high_135,white_high_45_up,black_high_135_up,7,1.640030748,0.2502938,left,1.7259456,1,7,1,1,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
5,"['high', 3, 'low']",3,white,0.546664925,45,left,down,high,low,white_low_45-black_low_135-black_low_45-white_low_135,white_high_45_down,black_high_135_down,11,1.169028831,0.2485433,left,0.0514605,1,11,1,0,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
6,"['med', 3, 'low']",3,white,0.426988674,45,left,down,med,low,white_low_135-white_low_45-black_low_135-black_low_45,white_med_45_down,black_med_135_down,8,1.770661689,0.2485613,left,1.113013,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
7,"['low', 3, 'low']",3,black,0.604886621,135,left,down,low,low,black_low_45-black_low_135-white_low_45-white_low_135,black_low_135_down,white_low_45_down,3,1.94821154,0.2450572,left,0.0383121,1,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
8,"['low', 2, 'high']",2,white,0.809910509,135,right,down,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_135_down,black_low_45_down,3,1.994885589,0.2485375,left,0.1925431,0,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
9,"['high', 3, 'low']",3,white,0.414930232,45,left,down,high,low,white_low_45-white_low_135-black_low_45-black_low_135,white_high_45_down,black_high_135_down,10,1.765372064,0.2485365,left,0.8835413,1,10,2,1,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
10,"['low', 1, 'low']",1,white,0.151523282,45,left,down,low,low,black_low_135-white_low_45-white_low_135-black_low_45,white_low_45_down,black_low_135_down,8,1.836082447,0.246716,left,0.6806356,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
11,"['low', 3, 'low']",3,white,0.393864372,45,left,down,low,low,black_low_135-black_low_45-white_low_45-white_low_135,white_low_45_down,black_low_135_down,2,1.393406805,0.2467304,left,0.4841413,1,2,1,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
12,"['low', 2, 'low']",2,black,0.731023836,45,right,down,low,low,black_low_135-white_low_45-black_low_45-white_low_135,black_low_45_down,white_low_135_down,3,1.996320591,0.2485265,left,1.0671501,0,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
13,"['low', 3, 'high']",3,white,0.817479893,135,right,up,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_135_up,black_low_45_up,6,1.456277067,0.2485458,right,0.6083393,1,6,1,0,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
14,"['low', 2, 'low']",2,black,0.687209165,45,right,down,low,low,white_low_45-black_low_135-white_low_135-black_low_45,black_low_45_down,white_low_135_down,6,1.090603655,0.2503049,left,0.3697835,0,6,1,0,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
15,"['low', 3, 'low']",3,white,0.831282358,135,right,up,low,low,black_low_135-black_low_45-white_low_135-white_low_45,white_low_135_up,black_low_45_up,1,1.161253709,0.2485448,right,0.5731363,1,1,2,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
16,"['med', 2, 'low']",2,black,0.279038153,45,right,down,med,low,white_low_135-white_low_45-black_low_135-black_low_45,black_med_45_down,white_med_135_down,8,1.336595035,0.2485455,left,0.1439796,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
17,"['high', 2, 'low']",2,black,0.016416752,45,right,up,high,low,black_low_45-white_low_45-black_low_135-white_low_135,black_high_45_up,white_high_135_up,11,1.090023851,0.2485482,right,0.3600735,1,11,1,0,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
18,"['high', 2, 'high']",2,black,0.605963929,45,right,down,high,high,white_high_135-black_high_45-black_high_135-white_high_135,black_high_45_down,white_high_135_down,6,1.95701193,0.2467688,right,0.7642249,1,6,2,1,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
19,"['low', 2, 'high']",2,black,0.019614912,45,right,down,low,high,white_high_135-black_high_135-black_high_45-white_high_135,black_low_45_down,white_low_135_down,6,1.321537706,0.246785,left,0.288808,0,6,1,0,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
20,"['high', 3, 'low']",3,black,0.451127953,45,right,up,high,low,black_low_135-white_low_45-black_low_45-white_low_135,black_high_45_up,white_high_135_up,9,1.877685274,0.2485487,right,2.1211254,1,9,3,1,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
21,"['low', 3, 'low']",3,white,0.258069699,135,right,down,low,low,black_low_135-white_low_45-black_low_45-white_low_135,white_low_135_down,black_low_45_down,1,1.190868473,0.2467305,left,0.1003457,0,1,3,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
22,"['low', 2, 'high']",2,black,0.735310196,135,left,up,low,high,white_high_135-black_high_135-white_high_135-black_high_45,black_low_135_up,white_low_45_up,9,1.930911915,0.2502977,right,1.8752984,0,9,2,0,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
23,"['low', 2, 'low']",2,white,0.71669729,45,left,down,low,low,black_low_45-black_low_135-white_low_135-white_low_45,white_low_45_down,black_low_135_down,9,1.834445694,0.2449976,left,5.0663353,1,9,2,0,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
24,"['high', 3, 'high']",3,white,0.940555365,45,left,down,high,high,white_high_135-white_high_135-black_high_45-black_high_135,white_high_45_down,black_high_135_down,8,1.299815625,0.2500147,left,0.0823603,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
25,"['low', 2, 'high']",2,white,0.725302817,45,left,down,low,high,white_high_135-black_high_135-white_high_135-black_high_45,white_low_45_down,black_low_135_down,12,1.627364461,0.2485378,left,1.9638258,1,12,3,0,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
26,"['low', 1, 'high']",1,white,0.095411821,135,right,up,low,high,white_high_135-black_high_135-white_high_135-black_high_45,white_low_135_up,black_low_45_up,8,1.188597489,0.2482051,right,0.0783304,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
27,"['low', 3, 'low']",3,black,0.27978771,45,right,down,low,low,black_low_45-white_low_45-black_low_135-white_low_135,black_low_45_down,white_low_135_down,4,1.671874864,0.2502984,left,0.0101535,0,4,4,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
28,"['med', 1, 'high']",1,white,0.824130722,45,left,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,white_med_45_up,black_med_135_up,12,1.547728965,0.2502885,right,0.2519013,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
29,"['low', 3, 'low']",3,black,0.688169714,135,left,up,low,low,black_low_45-white_low_135-white_low_45-black_low_135,black_low_135_up,white_low_45_up,7,1.045704943,0.2485338,right,2.9143047,0,7,5,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
30,"['low', 3, 'high']",3,black,0.466137427,135,left,down,low,high,black_high_45-white_high_135-black_high_135-white_high_135,black_low_135_down,white_low_45_down,5,1.122391247,0.2485568,right,0.855171,0,5,2,1,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
31,"['med', 2, 'high']",2,black,0.537085869,135,left,up,med,high,black_high_45-white_high_135-black_high_135-white_high_135,black_med_135_up,white_med_45_up,8,1.225202118,0.2485424,right,0.5831324,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
32,"['high', 1, 'low']",1,white,0.108822136,45,left,up,high,low,white_low_135-black_low_45-black_low_135-white_low_45,white_high_45_up,black_high_135_up,12,1.708005585,0.2466987,left,0.2052224,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
33,"['low', 2, 'high']",2,white,0.956845183,45,left,down,low,high,black_high_45-black_high_135-white_high_135-white_high_135,white_low_45_down,black_low_135_down,11,1.871764805,0.2485457,left,0.0389268,1,11,4,1,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
34,"['med', 3, 'high']",3,white,0.996011407,135,right,down,med,high,white_high_135-black_high_135-black_high_45-white_high_135,white_med_135_down,black_med_45_down,8,1.454171774,0.248548,right,2.8203718,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
35,"['high', 3, 'low']",3,black,0.01354017,45,right,down,high,low,white_low_135-black_low_45-black_low_135-white_low_45,black_high_45_down,white_high_135_down,8,1.398284138,0.2500053,left,0.0144395,0,8,4,1,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
36,"['low', 2, 'high']",2,black,0.72942743,135,left,up,low,high,white_high_135-black_high_135-black_high_45-white_high_135,black_low_135_up,white_low_45_up,10,1.932726623,0.2485486,right,1.3572115,0,10,5,1,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
37,"['med', 3, 'high']",3,white,0.178950293,45,left,down,med,high,black_high_135-black_high_45-white_high_135-white_high_135,white_med_45_down,black_med_135_down,7,1.030185604,0.2485504,left,1.4574775,1,7,1,1,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
38,"['med', 1, 'low']",1,black,0.293632781,45,right,up,med,low,black_low_135-white_low_135-black_low_45-white_low_45,black_med_45_up,white_med_135_up,12,1.70533481,0.2466961,left,2.5029304,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
39,"['high', 3, 'low']",3,black,0.9998151,45,right,down,high,low,black_low_135-white_low_135-white_low_45-black_low_45,black_high_45_down,white_high_135_down,11,1.126678878,0.2503221,left,1.3433783,0,11,5,0,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
40,"['high', 1, 'low']",1,white,0.521976671,135,right,up,high,low,black_low_45-black_low_135-white_low_135-white_low_45,white_high_135_up,black_high_45_up,11,1.569433521,0.2467036,left,0.9574913,0,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
41,"['low', 3, 'high']",3,black,0.276139161,135,left,up,low,high,black_high_135-white_high_135-black_high_45-white_high_135,black_low_135_up,white_low_45_up,8,1.676723646,0.2485385,left,0.7571948,1,8,3,0,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
42,"['med', 3, 'high']",3,white,0.600452102,45,left,up,med,high,black_high_45-white_high_135-white_high_135-black_high_135,white_med_45_up,black_med_135_up,6,1.233122162,0.2485534,left,0.6550366,1,6,2,1,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
43,"['high', 3, 'low']",3,white,0.610893508,135,right,down,high,low,white_low_135-black_low_45-black_low_135-white_low_45,white_high_135_down,black_high_45_down,14,1.479846066,0.2485492,right,0.5035837,1,14,6,0,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
44,"['med', 1, 'low']",1,black,0.929675492,135,left,up,med,low,white_low_135-black_low_45-black_low_135-white_low_45,black_med_135_up,white_med_45_up,15,1.822045551,0.24855,right,0.5740137,0,15,1,0,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
45,"['high', 1, 'low']",1,black,0.574298268,45,right,up,high,low,white_low_45-black_low_135-black_low_45-white_low_135,black_high_45_up,white_high_135_up,14,1.217478385,0.2485972,left,0.7615197,0,14,2,0,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
46,"['high', 3, 'high']",3,black,0.923907534,135,left,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_135_down,white_high_45_down,7,1.495485992,0.2485413,right,0.4512628,0,7,1,1,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
47,"['high', 2, 'low']",2,black,0.89601552,135,left,up,high,low,black_low_45-white_low_45-white_low_135-black_low_135,black_high_135_up,white_high_45_up,10,1.932797594,0.2485433,right,0.0432684,0,10,2,1,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
48,"['high', 3, 'low']",3,black,0.492594398,45,right,up,high,low,white_low_45-white_low_135-black_low_45-black_low_135,black_high_45_up,white_high_135_up,13,1.896569285,0.2485607,right,0.0971222,1,13,7,1,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,3,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
49,"['low', 3, 'low']",3,white,0.772140227,135,right,up,low,low,black_low_135-black_low_45-white_low_135-white_low_45,white_low_135_up,black_low_45_up,10,1.296501558,0.2484662,right,1.5104425,1,10,6,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
50,"['high', 1, 'high']",1,white,0.364169953,135,right,up,high,high,white_high_135-black_high_45-white_high_135-black_high_135,white_high_135_up,black_high_45_up,12,1.588503521,0.2503405,right,1.129531,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
51,"['high', 2, 'high']",2,black,0.392304505,135,left,down,high,high,white_high_135-black_high_45-white_high_135-black_high_135,black_high_135_down,white_high_45_down,5,1.728846335,0.24674,right,0.6874527,0,5,3,1,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
52,"['high', 3, 'high']",3,white,0.921010458,135,right,up,high,high,black_high_45-white_high_135-black_high_135-white_high_135,white_high_135_up,black_high_45_up,10,1.626924356,0.2503169,right,0.5174553,1,10,2,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
53,"['low', 1, 'low']",1,white,0.787659909,135,right,down,low,low,white_low_45-black_low_45-white_low_135-black_low_135,white_low_135_down,black_low_45_down,7,1.027257505,0.248545,right,0.7255517,1,7,1,1,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
54,"['med', 2, 'low']",2,black,0.844628482,135,left,down,med,low,black_low_135-white_low_45-black_low_45-white_low_135,black_med_135_down,white_med_45_down,11,1.660040069,0.2467412,right,1.3656054,0,11,1,0,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
55,"['high', 2, 'low']",2,white,0.894294038,135,right,down,high,low,white_low_135-black_low_45-black_low_135-white_low_45,white_high_135_down,black_high_45_down,13,1.059886828,0.2485425,right,0.8577466,1,13,3,0,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,3,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
56,"['high', 1, 'high']",1,black,0.075947102,45,right,up,high,high,white_high_135-black_high_45-white_high_135-black_high_135,black_high_45_up,white_high_135_up,11,1.810191926,0.2467596,right,1.0039729,1,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
57,"['med', 3, 'low']",3,black,0.524049528,45,right,down,med,low,black_low_45-white_low_135-black_low_135-white_low_45,black_med_45_down,white_med_135_down,7,1.312953633,0.2485484,right,0.730053,1,7,1,1,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
58,"['high', 3, 'high']",3,black,0.024024924,45,right,up,high,high,black_high_135-white_high_135-white_high_135-black_high_45,black_high_45_up,white_high_135_up,9,1.075669992,0.2485559,right,0.7011987,1,9,3,1,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
59,"['high', 3, 'high']",3,white,0.537849814,135,right,up,high,high,black_high_135-black_high_45-white_high_135-white_high_135,white_high_135_up,black_high_45_up,8,1.780598271,0.248562,right,0.5073784,1,8,4,1,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
60,"['med', 3, 'low']",3,white,0.456306773,135,right,up,med,low,black_low_135-white_low_45-white_low_135-black_low_45,white_med_135_up,black_med_45_up,6,1.908474376,0.2485529,right,0.5304333,1,6,2,1,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
61,"['low', 2, 'low']",2,black,0.579175544,45,right,down,low,low,white_low_45-white_low_135-black_low_135-black_low_45,black_low_45_down,white_low_135_down,8,1.028367409,0.2485485,right,0.7631281,1,8,3,1,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
62,"['med', 2, 'high']",2,white,0.783016453,45,left,up,med,high,white_high_135-black_high_135-white_high_135-black_high_45,white_med_45_up,black_med_135_up,11,1.350999754,0.2502896,left,0.7862067,1,11,1,0,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
63,"['high', 2, 'low']",2,black,0.371113104,45,right,down,high,low,black_low_135-black_low_45-white_low_45-white_low_135,black_high_45_down,white_high_135_down,12,1.098291949,0.2485551,left,1.4234265,0,12,4,1,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,4,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
64,"['high', 1, 'low']",1,black,0.738426511,135,left,down,high,low,white_low_45-white_low_135-black_low_45-black_low_135,black_high_135_down,white_high_45_down,17,1.402922128,0.2485475,right,1.061937,0,17,3,0,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
65,"['high', 1, 'high']",1,white,0.888550767,45,left,down,high,high,black_high_135-white_high_135-black_high_45-white_high_135,white_high_45_down,black_high_135_down,10,1.280147266,0.2485523,right,0.3687955,0,10,2,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
66,"['med', 2, 'high']",2,black,0.35752346,45,right,up,med,high,black_high_135-white_high_135-white_high_135-black_high_45,black_med_45_up,white_med_135_up,10,1.01772529,0.2485009,right,0.340441,1,10,2,1,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
67,"['med', 1, 'high']",1,black,0.79093324,45,right,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,black_med_45_up,white_med_135_up,15,1.124891493,0.2485508,right,0.3318266,1,15,1,0,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
68,"['low', 3, 'low']",3,black,0.00565823,135,left,up,low,low,white_low_135-white_low_45-black_low_45-black_low_135,black_low_135_up,white_low_45_up,9,1.075504804,0.2485368,left,0.6864352,1,9,7,1,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,2,,,,,,,,,,,,,,,,,,,165,12,3.2.2021,164.9620587
