trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 3, 'high']",3,white,0.433485218,45,left,up,med,high,black_high_45-white_high_135-black_high_135-white_high_135,white_med_45_up,black_med_135_up,8,1.278423229,0.2485556,left,0.3010316,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
1,"['low', 2, 'high']",2,white,0.183408762,135,right,up,low,high,black_high_45-black_high_135-white_high_135-white_high_135,white_low_135_up,black_low_45_up,3,1.485976409,0.2485402,right,0.286535,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
2,"['med', 2, 'low']",2,white,0.899335994,45,left,down,med,low,black_low_45-white_low_135-white_low_45-black_low_135,white_med_45_down,black_med_135_down,8,1.578651537,0.2467067,right,0.2687291,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
3,"['high', 2, 'high']",2,black,0.390673275,135,left,up,high,high,black_high_45-black_high_135-white_high_135-white_high_135,black_high_135_up,white_high_45_up,8,1.929356813,0.2502813,left,0.3378494,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
4,"['low', 3, 'low']",3,white,0.574368525,45,left,down,low,low,black_low_135-white_low_45-white_low_135-black_low_45,white_low_45_down,black_low_135_down,3,1.034759965,0.2485644,right,0.3046888,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
5,"['med', 1, 'high']",1,black,0.784533156,45,right,down,med,high,white_high_135-black_high_135-black_high_45-white_high_135,black_med_45_down,white_med_135_down,12,1.864615693,0.2485362,right,0.4781909,1,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
6,"['high', 1, 'low']",1,black,0.720010834,135,left,down,high,low,white_low_45-white_low_135-black_low_45-black_low_135,black_high_135_down,white_high_45_down,12,1.262424462,0.2485468,left,0.3803798,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
7,"['med', 3, 'high']",3,white,0.919844445,135,right,down,med,high,white_high_135-black_high_45-white_high_135-black_high_135,white_med_135_down,black_med_45_down,7,1.546159738,0.2485418,left,0.60172,0,7,1,1,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
8,"['high', 3, 'high']",3,black,0.972765586,135,left,down,high,high,black_high_135-white_high_135-white_high_135-black_high_45,black_high_135_down,white_high_45_down,8,1.553323912,0.2485489,right,0.0884694,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
9,"['med', 1, 'high']",1,white,0.12156652,135,right,up,med,high,white_high_135-black_high_135-black_high_45-white_high_135,white_med_135_up,black_med_45_up,11,1.150818481,0.2485441,left,0.2813091,0,11,1,1,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,7,3.2.2021,164.9547117
