trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 1, 'high']",1,black,0.186521736,45,right,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,black_med_45_up,white_med_135_up,12,1.96045006,0.246434,left,0.3210938,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
1,"['med', 2, 'low']",2,white,0.287590631,45,left,down,med,low,white_low_135-black_low_45-black_low_135-white_low_45,white_med_45_down,black_med_135_down,8,1.773365194,0.2488179,right,0.2941922,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
2,"['high', 1, 'low']",1,white,0.502852663,135,right,up,high,low,black_low_45-black_low_135-white_low_135-white_low_45,white_high_135_up,black_high_45_up,12,1.597801091,0.2450123,right,0.4297057,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
3,"['low', 3, 'low']",3,white,0.799689924,45,left,down,low,low,black_low_45-white_low_45-black_low_135-white_low_135,white_low_45_down,black_low_135_down,3,1.748128599,0.2485392,right,0.5086726,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
4,"['high', 2, 'low']",2,white,0.015635185,135,right,down,high,low,black_low_45-white_low_45-black_low_135-white_low_135,white_high_135_down,black_high_45_down,8,1.349339393,0.2467244,right,0.4191028,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
5,"['low', 3, 'low']",3,white,0.072278631,45,left,down,low,low,white_low_135-black_low_135-white_low_45-black_low_45,white_low_45_down,black_low_135_down,6,1.963938416,0.2485509,right,0.4229598,0,6,1,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
6,"['high', 2, 'high']",2,black,0.599336217,45,right,down,high,high,black_high_135-white_high_135-white_high_135-black_high_45,black_high_45_down,white_high_135_down,8,1.41672231,0.2450587,left,0.2633132,0,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
7,"['med', 1, 'low']",1,black,0.781324532,135,left,down,med,low,black_low_45-black_low_135-white_low_135-white_low_45,black_med_135_down,white_med_45_down,12,1.225132322,0.2485451,right,0.3800333,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
8,"['med', 1, 'low']",1,black,0.984940426,45,right,up,med,low,black_low_135-white_low_135-white_low_45-black_low_45,black_med_45_up,white_med_135_up,15,1.082882653,0.2485186,right,0.2750115,1,15,1,0,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
9,"['high', 1, 'high']",1,black,0.480687027,135,left,up,high,high,black_high_135-white_high_135-black_high_45-white_high_135,black_high_135_up,white_high_45_up,12,1.918986233,0.248542,right,1.7880403,0,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
10,"['low', 2, 'high']",2,white,0.837792159,135,right,up,low,high,white_high_135-white_high_135-black_high_135-black_high_45,white_low_135_up,black_low_45_up,3,1.83580518,0.2467029,right,0.2461083,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
11,"['low', 1, 'low']",1,white,0.497391568,135,right,down,low,low,black_low_135-white_low_135-white_low_45-black_low_45,white_low_135_down,black_low_45_down,8,1.038519243,0.2485341,right,0.248916,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
12,"['low', 1, 'low']",1,white,0.477926611,135,right,down,low,low,black_low_135-white_low_135-black_low_45-white_low_45,white_low_135_down,black_low_45_down,7,1.130439359,0.248547,right,0.1825336,1,7,1,1,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
13,"['low', 1, 'high']",1,white,0.511518846,45,left,down,low,high,black_high_135-white_high_135-black_high_45-white_high_135,white_low_45_down,black_low_135_down,8,1.904818309,0.2467501,left,0.499322,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
14,"['low', 1, 'high']",1,white,0.019179372,45,left,down,low,high,black_high_135-white_high_135-white_high_135-black_high_45,white_low_45_down,black_low_135_down,7,1.294067015,0.2467426,left,0.6043951,1,7,1,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
15,"['low', 2, 'low']",2,white,0.127146191,45,left,up,low,low,white_low_135-black_low_135-black_low_45-white_low_45,white_low_45_up,black_low_135_up,3,1.924598696,0.2467857,left,1.4664363,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
16,"['low', 2, 'high']",2,black,0.365393266,45,right,up,low,high,white_high_135-white_high_135-black_high_135-black_high_45,black_low_45_up,white_low_135_up,2,1.424094771,0.2467044,left,0.3335374,0,2,1,1,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
17,"['high', 3, 'high']",3,white,0.481168894,45,left,down,high,high,white_high_135-white_high_135-black_high_45-black_high_135,white_high_45_down,black_high_135_down,8,1.520932156,0.248549,right,0.3668208,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
18,"['low', 1, 'high']",1,black,0.425365364,45,right,up,low,high,black_high_135-white_high_135-black_high_45-white_high_135,black_low_45_up,white_low_135_up,6,1.329753344,0.2485524,right,0.2416797,1,6,2,1,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
19,"['med', 2, 'high']",2,white,0.505341346,135,right,down,med,high,white_high_135-black_high_135-black_high_45-white_high_135,white_med_135_down,black_med_45_down,8,1.581790364,0.2485508,right,0.85178,1,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
20,"['low', 3, 'low']",3,black,0.477542934,45,right,down,low,low,black_low_45-white_low_135-black_low_135-white_low_45,black_low_45_down,white_low_135_down,9,1.176884938,0.2482884,right,0.4170741,1,9,2,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,10,3.2.2021,164.9849204
