trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 2, 'high']",2,black,0.220708959,45,right,down,med,high,white_high_135-white_high_135-black_high_135-black_high_45,black_med_45_down,white_med_135_down,8,1.958169099,0.2485466,right,0.0991298,1,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
1,"['low', 1, 'high']",1,white,0.519237032,135,right,up,low,high,black_high_45-white_high_135-white_high_135-black_high_135,white_low_135_up,black_low_45_up,8,1.159920796,0.2485433,right,0.1984422,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
2,"['med', 2, 'low']",2,black,0.913342113,135,left,up,med,low,white_low_45-black_low_45-black_low_135-white_low_135,black_med_135_up,white_med_45_up,8,1.084914532,0.2449724,right,0.2546052,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
3,"['high', 2, 'high']",2,black,0.192072016,135,left,down,high,high,black_high_45-white_high_135-black_high_135-white_high_135,black_high_135_down,white_high_45_down,8,1.131277095,0.24854,right,0.3047088,0,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
4,"['low', 3, 'low']",3,white,0.107290639,45,left,up,low,low,white_low_45-black_low_45-black_low_135-white_low_135,white_low_45_up,black_low_135_up,3,1.061175511,0.2503071,left,0.2339338,1,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
5,"['low', 2, 'high']",2,black,0.406910862,135,left,up,low,high,black_high_45-white_high_135-white_high_135-black_high_135,black_low_135_up,white_low_45_up,3,1.063781421,0.2485608,left,0.2638341,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
6,"['high', 2, 'low']",2,white,0.76389097,135,right,up,high,low,white_low_45-white_low_135-black_low_135-black_low_45,white_high_135_up,black_high_45_up,8,1.725615412,0.2485475,left,0.1836723,0,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
7,"['med', 2, 'low']",2,white,0.44060313,135,right,up,med,low,black_low_45-white_low_135-black_low_135-white_low_45,white_med_135_up,black_med_45_up,11,1.151589199,0.2488461,right,0.6045027,1,11,1,0,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
8,"['med', 3, 'low']",3,black,0.351353196,135,left,down,med,low,black_low_135-black_low_45-white_low_45-white_low_135,black_med_135_down,white_med_45_down,8,1.263714832,0.2485526,right,0.1117364,0,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
9,"['low', 2, 'high']",2,white,0.812950626,135,right,down,low,high,black_high_45-white_high_135-black_high_135-white_high_135,white_low_135_down,black_low_45_down,2,1.262810854,0.2485391,right,0.2584178,1,2,1,1,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,11,3.2.2021,164.9514465
