trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 3, 'low']",3,black,0.375228505,45,right,down,med,low,white_low_135-black_low_45-black_low_135-white_low_45,black_med_45_down,white_med_135_down,8,1.374454118,0.2485493,right,0.2872415,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
1,"['high', 1, 'high']",1,white,0.400573034,135,right,down,high,high,white_high_135-white_high_135-black_high_45-black_high_135,white_high_135_down,black_high_45_down,12,1.955422236,0.2485404,right,0.6002948,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
2,"['med', 2, 'high']",2,white,0.717206892,45,left,down,med,high,black_high_45-white_high_135-white_high_135-black_high_135,white_med_45_down,black_med_135_down,8,1.856190445,0.2449719,right,0.5768887,0,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
3,"['low', 2, 'high']",2,black,0.765397929,135,left,down,low,high,white_high_135-black_high_45-black_high_135-white_high_135,black_low_135_down,white_low_45_down,3,1.78928579,0.2485637,right,1.0398554,0,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
4,"['high', 2, 'low']",2,black,0.098813029,45,right,down,high,low,black_low_45-white_low_45-black_low_135-white_low_135,black_high_45_down,white_high_135_down,8,1.454299814,0.2443315,right,2.3063422,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
5,"['med', 3, 'high']",3,black,0.586931561,135,left,down,med,high,black_high_135-black_high_45-white_high_135-white_high_135,black_med_135_down,white_med_45_down,8,1.283127642,0.24855,left,1.2357128,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
6,"['high', 3, 'low']",3,white,0.069861421,45,left,up,high,low,white_low_135-white_low_45-black_low_135-black_low_45,white_high_45_up,black_high_135_up,8,1.625715041,0.2485436,right,1.4769024,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
7,"['low', 3, 'high']",3,white,0.166479955,45,left,up,low,high,white_high_135-white_high_135-black_high_135-black_high_45,white_low_45_up,black_low_135_up,3,1.50302369,0.2500152,right,0.4429416,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
8,"['med', 1, 'high']",1,white,0.255003167,45,left,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,white_med_45_up,black_med_135_up,12,1.191197769,0.2485499,right,1.3079413,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
9,"['high', 1, 'high']",1,black,0.882732694,135,left,down,high,high,black_high_135-black_high_45-white_high_135-white_high_135,black_high_135_down,white_high_45_down,11,1.583547846,0.2503174,right,1.0325172,0,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,8,3.2.2021,164.9737609
