trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
1372,"['high', 2, 'high']",2,black,0.638237275,45,right,down,high,high,white_high_135-black_high_135-black_high_45-white_high_135,black_high_45_down,white_high_135_down,25,1.547804864,0.2485488,right,0.3015882,1,25,67,0,1,1,1,TRUE,TRUE,high_2_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1373,"['med', 1, 'high']",1,white,0.504650767,45,left,down,med,high,white_high_135-black_high_45-black_high_135-white_high_135,white_med_45_down,black_med_135_down,15,1.374981503,0.2467862,left,0.0114934,1,15,65,1,1,1,1,TRUE,TRUE,med_1_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1374,"['low', 1, 'low']",1,black,0.508073714,135,left,up,low,low,white_low_45-white_low_135-black_low_135-black_low_45,black_low_135_up,white_low_45_up,21,1.950016767,0.2467821,left,0.1166621,1,21,74,1,1,1,1,TRUE,TRUE,low_1_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1375,"['med', 3, 'low']",3,white,0.672865977,135,right,down,med,low,white_low_45-black_low_135-white_low_135-black_low_45,white_med_135_down,black_med_45_down,10,1.973933749,0.2485533,right,0.4384746,1,10,70,0,1,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1376,"['low', 3, 'high']",3,black,0.206525558,45,right,up,low,high,black_high_45-black_high_135-white_high_135-white_high_135,black_low_45_up,white_low_135_up,4,1.566963481,0.2467771,left,0.0866242,0,4,64,1,1,1,1,TRUE,TRUE,low_3_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1377,"['med', 1, 'low']",1,black,0.156493227,135,left,up,med,low,black_low_45-white_low_45-black_low_135-white_low_135,black_med_135_up,white_med_45_up,27,1.061757436,0.2485405,right,0.083511,0,27,69,0,1,1,1,TRUE,TRUE,med_1_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1378,"['low', 3, 'high']",3,black,0.512938786,45,right,down,low,high,black_high_45-white_high_135-black_high_135-white_high_135,black_low_45_down,white_low_135_down,4,1.628010112,0.2503197,left,0.1237795,0,4,64,1,1,1,1,TRUE,TRUE,low_3_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1379,"['high', 1, 'low']",1,white,0.736713568,135,right,down,high,low,black_low_45-white_low_45-black_low_135-white_low_135,white_high_135_down,black_high_45_down,34,1.365282788,0.2503007,right,0.0528346,1,34,78,0,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,29,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1380,"['low', 2, 'high']",2,white,0.534535007,45,left,up,low,high,white_high_135-black_high_45-black_high_135-white_high_135,white_low_45_up,black_low_135_up,6,1.627329325,0.2502967,left,0.0776435,1,6,64,1,1,1,1,TRUE,TRUE,low_2_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1381,"['low', 2, 'low']",2,white,0.677886886,135,right,up,low,low,black_low_135-black_low_45-white_low_45-white_low_135,white_low_135_up,black_low_45_up,7,1.917192356,0.2485401,right,0.1324943,1,7,72,1,1,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,29,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
